"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Ent","log2fold_change","Auc"
"259","Enpp3","hurdle",7.89372704426781e-93,-3.137096,-1.541614,1.595482,0.562
"225","Dcxr","hurdle",6.07457866789695e-20,-1.3032839,-0.7474215,0.5558624,0.562
"222","Dab1","hurdle",4.8697888169059e-29,-2.122619,-1.367006,0.755613,0.562
"184","Copb2","hurdle",2.53252499602478e-20,-1.0717258,-0.5423424,0.5293834,0.562
"83","Ankrd9","hurdle",2.59853974195793e-26,-1.870615,-1.154506,0.716109,0.562
"805","Zdhhc7","hurdle",1.99342174172315e-20,-1.655352,-1.070714,0.584638,0.561
"772","Ttc22","hurdle",8.0780964092062e-58,-2.917425,-1.844201,1.073224,0.561
"716","Stat3","hurdle",1.34269991258679e-21,-1.723459,-1.102575,0.620884,0.561
"391","Itga3","hurdle",1.10026278376332e-26,-2.059212,-1.335115,0.724097,0.561
"387","Insl6","hurdle",1.86363873611757e-26,-1.7506,-1.055044,0.695556,0.561
"240","Dok4","hurdle",2.59252118821651e-31,-2.306112,-1.51636,0.789752,0.561
"196","Cubn","hurdle",9.73981868187853e-96,-3.17107,-1.711357,1.459713,0.561
"161","Cfb","hurdle",2.31147587212146e-20,-1.594536,-1.024205,0.570331,0.561
"1","1600014C10Rik","hurdle",8.81277787609653e-31,-2.164211,-1.370234,0.793977,0.561
"601","Rxra","hurdle",6.36334065596415e-24,-1.960348,-1.288562,0.671786,0.56
"534","Pgpep1","hurdle",4.34672110430124e-23,-1.737814,-1.105262,0.632552,0.56
"521","Pcsk5","hurdle",4.45790798819485e-29,-2.229534,-1.44655,0.782984,0.56
"249","Efr3b","hurdle",5.20748293937954e-81,-3.139337,-1.980628,1.158709,0.56
"188","Cpt2","hurdle",5.55225901667974e-18,-1.0433926,-0.5387057,0.5046869,0.56
"178","Clrn3","hurdle",1.73482105359616e-23,-1.3076862,-0.7183339,0.5893523,0.56
"112","Atg9a","hurdle",9.31533912560184e-34,-2.375055,-1.545258,0.829797,0.56
"61","Agmo","hurdle",7.75010517827518e-33,-2.345658,-1.527129,0.818529,0.56
"792","Vipr1","hurdle",1.80587864904299e-17,-1.1938815,-0.6697946,0.5240869,0.559
"669","Slc39a9","hurdle",1.78305439831518e-19,-1.660169,-1.094544,0.565625,0.559
"511","Otop3","hurdle",5.98278021539588e-84,-3.111581,-1.765585,1.345996,0.559
"503","Odf3b","hurdle",1.65143109568606e-39,-2.62051,-1.715457,0.905053,0.559
"366","Hnf4aos","hurdle",3.40369144830479e-83,-3.15852,-1.965901,1.192619,0.559
"299","Frmd8","hurdle",9.95771109355675e-26,-2.14439,-1.443147,0.701243,0.559
"253","Ehhadh","hurdle",3.02093200313399e-32,-2.147205,-1.357364,0.789841,0.559
"28","Abhd12","hurdle",3.30722500527373e-24,-1.5758315,-0.9595664,0.6162651,0.559
"786","Urgcp","hurdle",9.06520026992679e-27,-2.182575,-1.453381,0.729194,0.558
"761","Trim12a","hurdle",6.80274556477063e-34,-2.474073,-1.623991,0.850082,0.558
"693","Slco2a1","hurdle",8.25257244293834e-49,-2.846166,-1.871389,0.974777,0.558
"637","Slc16a6","hurdle",2.10989341069539e-31,-2.354089,-1.523531,0.830558,0.558
"575","Rab11fip3","hurdle",1.3903293542727e-52,-2.916464,-1.936892,0.979572,0.558
"538","Pink1","hurdle",6.16048940102769e-18,-1.4395007,-0.8953726,0.5441281,0.558
"516","Parp14","hurdle",3.50174235695574e-20,-1.73527,-1.107954,0.627316,0.558
"393","Itgb5","hurdle",3.30195423811408e-51,-2.894539,-1.903769,0.99077,0.558
"328","Gnpda1","hurdle",2.22013534601581e-46,-2.810922,-1.853207,0.957715,0.558
"308","Gatsl2","hurdle",9.27448631455847e-66,-3.053391,-1.961026,1.092365,0.558
"290","Fas","hurdle",1.89572840608146e-57,-2.971281,-1.913155,1.058126,0.558
"123","BC030870","hurdle",6.75401707927696e-18,-1.5517609,-0.9940116,0.5577493,0.558
"702","Sp100","hurdle",5.01327452060228e-23,-2.058152,-1.40623,0.651922,0.557
"443","Mfsd2a","hurdle",1.42245113374693e-55,-2.971281,-1.92735,1.043931,0.557
"107","Arl8a","hurdle",4.31986267708766e-31,-2.428843,-1.620143,0.8087,0.557
"69","Aldh16a1","hurdle",1.49026137078506e-17,-1.4433014,-0.9117432,0.5315582,0.557
"483","Myo7a","hurdle",1.11480117641105e-40,-2.740362,-1.808731,0.931631,0.556
"295","Fez2","hurdle",3.38671171164605e-26,-2.275608,-1.552574,0.723034,0.556
"256","Emp1","hurdle",3.21869102759498e-58,-3.011752,-1.99053,1.021222,0.556
"205","Cyp2c55","hurdle",2.79550700542188e-64,-3.072528,-1.975702,1.096826,0.556
"14","9030617O03Rik","hurdle",3.91877769882963e-32,-2.440536,-1.620143,0.820393,0.556
"619","Sema4a","hurdle",1.22469140068372e-15,-1.4261057,-0.9211818,0.5049239,0.555
"560","Ppm1j","hurdle",1.74083814724633e-69,-3.125947,-2.072291,1.053656,0.555
"452","Micu1","hurdle",5.5379309090686e-19,-1.3956609,-0.8450994,0.5505615,0.555
"227","Ddhd2","hurdle",2.32335215456523e-22,-2.12984,-1.47407,0.65577,0.555
"771","Tstd3","hurdle",5.48853854840319e-41,-2.810029,-1.908454,0.901575,0.554
"734","Ticam1","hurdle",8.3878680167951e-28,-2.454415,-1.703193,0.751222,0.554
"701","Sowaha","hurdle",9.21359966100341e-47,-2.886991,-1.913155,0.973836,0.554
"522","Pcx","hurdle",3.73490708789648e-49,-2.956393,-2.030831,0.925562,0.554
"392","Itgb4","hurdle",1.64930282647775e-19,-1.763933,-1.160082,0.603851,0.554
"359","Hectd3","hurdle",1.11994767587277e-20,-2.077889,-1.453381,0.624508,0.554
"217","Cyp4f13","hurdle",3.72130353807332e-22,-2.051281,-1.389757,0.661524,0.554
"102","Aqp3","hurdle",6.39266562506667e-98,-3.26334,-2.098821,1.164519,0.554
"749","Tmem243","hurdle",1.30428637647545e-17,-1.2630344,-0.7621882,0.5008462,0.553
"665","Slc37a4","hurdle",2.6328226486995e-22,-1.5914654,-0.9940116,0.5974538,0.553
"559","Ppfia3","hurdle",5.22451375074045e-61,-3.082193,-2.015586,1.066607,0.553
"377","Ifit1bl2","hurdle",4.4981469890594e-75,-3.177962,-2.098821,1.079141,0.553
"236","Dnaaf1","hurdle",1.1244177406698e-67,-3.130397,-2.02065,1.109747,0.553
"164","Chdh","hurdle",1.91689040051128e-16,-1.548408,-1.011548,0.53686,0.553
"134","C530008M17Rik","hurdle",2.31289692656175e-67,-3.129283,-2.067043,1.06224,0.553
"106","Arhgef2","hurdle",2.93810309869429e-32,-2.637826,-1.83972,0.798106,0.553
"778","Ube2l6","hurdle",1.41724852932719e-17,-1.905937,-1.335115,0.570822,0.552
"570","Prrc1","hurdle",1.62761356063701e-19,-1.940679,-1.335115,0.605564,0.552
"419","Lpin3","hurdle",7.93060396464355e-33,-2.680415,-1.87597,0.804445,0.552
"411","Leng9","hurdle",2.2142686265313e-21,-2.165923,-1.484527,0.681396,0.552
"340","Gramd3","hurdle",1.38831624628367e-18,-1.919348,-1.322553,0.596795,0.552
"297","Fmo4","hurdle",1.35937056742205e-45,-2.888874,-1.922603,0.966271,0.552
"757","Tpcn1","hurdle",1.82067414243848e-26,-2.483291,-1.748681,0.73461,0.551
"755","Tom1l2","hurdle",1.93369281949805e-31,-2.626783,-1.826357,0.800426,0.551
"645","Slc25a24","hurdle",1.19960376446371e-24,-2.407762,-1.691032,0.71673,0.551
"596","Rhou","hurdle",1.38460591966377e-14,-1.592616,-1.083904,0.508712,0.551
"480","Myo18a","hurdle",1.24910689352101e-19,-2.090296,-1.456809,0.633487,0.551
"416","Lmbr1l","hurdle",1.54481068982371e-26,-2.468429,-1.736132,0.732297,0.551
"360","Helz2","hurdle",1.00197680354365e-17,-1.976779,-1.393036,0.583743,0.551
"265","Epha1","hurdle",6.96358626357106e-28,-2.520766,-1.765585,0.755181,0.551
"230","Dgka","hurdle",3.94620214993201e-33,-2.652149,-1.817517,0.834632,0.551
"30","Abhd2","hurdle",1.86431007870021e-39,-2.551761,-1.416205,1.135556,0.551
"748","Tmem236","hurdle",1.46289249686811e-23,-2.216468,-1.509225,0.707243,0.55
"727","Tbc1d24","hurdle",3.19147926760782e-28,-2.575831,-1.82193,0.753901,0.55
"699","Snx25","hurdle",3.09862979187021e-28,-2.602627,-1.862269,0.740358,0.55
"496","Nr1i2","hurdle",1.36931034628672e-17,-1.755747,-1.188294,0.567453,0.55
"442","Mettl7b","hurdle",6.06576100260668e-24,-2.355391,-1.635598,0.719793,0.55
"321","Gm766","hurdle",4.27992313795119e-62,-3.025153,-1.748681,1.276472,0.55
"302","G630090E17Rik","hurdle",6.19345315097624e-61,-3.125947,-2.158965,0.966982,0.55
"193","Crot","hurdle",1.09164409168901e-17,-1.729352,-1.165681,0.563671,0.55
"103","Aqp7","hurdle",1.79465205268295e-91,-3.270688,-2.170175,1.100513,0.55
"514","Paqr7","hurdle",5.94277840027356e-44,-2.953433,-2.041085,0.912348,0.549
"124","BC089597","hurdle",5.06604546409936e-79,-3.235513,-2.125849,1.109664,0.549
"118","B4galt1","hurdle",9.19374097355399e-18,-2.056563,-1.467141,0.589422,0.549
"57","Adh4","hurdle",1.62602435598373e-56,-3.086509,-1.98557,1.100939,0.549
"654","Slc2a9","hurdle",1.37052191987365e-44,-2.989353,-2.067043,0.92231,0.548
"639","Slc22a4","hurdle",1.06995609017919e-53,-3.099536,-2.181473,0.918063,0.548
"564","Ppp2r5d","hurdle",1.51570734166509e-16,-2.032942,-1.463688,0.569254,0.548
"508","Orai1","hurdle",1.81688107196857e-16,-1.681639,-1.151725,0.529914,0.548
"403","Klf6","hurdle",1.45233058499747e-13,-1.3540894,-0.7537316,0.6003578,0.548
"703","Sphk1","hurdle",1.00363800743208e-45,-3.021017,-2.114977,0.90604,0.547
"603","Samd8","hurdle",7.34229089654583e-34,-2.788773,-1.913155,0.875618,0.547
"582","Rec8","hurdle",2.49084573304513e-27,-2.579629,-1.791317,0.788312,0.547
"556","Podn","hurdle",3.65704091095648e-84,-3.271916,-2.251182,1.020734,0.547
"501","Oasl1","hurdle",6.05903179527842e-22,-2.337276,-1.593489,0.743787,0.547
"239","Dock8","hurdle",4.24627391004194e-42,-2.974277,-2.077558,0.896719,0.547
"201","Cym","hurdle",1.34279497326286e-69,-3.214104,-2.187155,1.026949,0.547
"160","Ces2g","hurdle",1.42425111977784e-19,-1.820326,-1.182607,0.637719,0.547
"120","Barx2","hurdle",1.03802801969992e-16,-2.021017,-1.416205,0.604812,0.547
"91","Aplp1","hurdle",9.20593318082645e-49,-2.748034,-2.01054,0.737494,0.547
"33","Ablim1","hurdle",1.66492790010636e-23,-2.529554,-1.835252,0.694302,0.547
"19","Abcb10","hurdle",8.05647749535176e-23,-2.464913,-1.817517,0.647396,0.547
"777","Uba7","hurdle",2.92195689091468e-25,-2.512031,-1.795651,0.71638,0.546
"726","Tap2","hurdle",1.44064578625148e-19,-2.187783,-1.556246,0.631537,0.546
"592","Rhebl1","hurdle",3.33194584634156e-25,-2.615823,-1.913155,0.702668,0.546
"569","Prr15","hurdle",3.63258622312939e-31,-2.783508,-1.980628,0.80288,0.546
"460","Mon1a","hurdle",1.37263007289042e-15,-2.061865,-1.530737,0.531128,0.546
"264","Epas1","hurdle",1.2033056056138e-28,-2.72514,-1.975702,0.749438,0.546
"203","Cyp27a1","hurdle",1.13294448115073e-35,-2.837047,-1.98557,0.851477,0.546
"142","Cd55","hurdle",9.38414193953043e-38,-2.86922,-1.946497,0.922723,0.546
"790","Vav2","hurdle",7.06370399112634e-20,-2.318116,-1.682981,0.635135,0.545
"675","Slc46a3","hurdle",7.19192856756216e-67,-3.22002,-2.239327,0.980693,0.545
"533","Pgm2","hurdle",1.60566717446934e-16,-2.126503,-1.545258,0.581245,0.545
"445","Mfsd7b","hurdle",6.68051914914496e-41,-3.000509,-2.131316,0.869193,0.545
"398","Kcnk5","hurdle",8.70877467593725e-20,-2.423373,-1.791317,0.632056,0.545
"292","Fbxl15","hurdle",3.505549853425e-20,-2.176811,-1.527129,0.649682,0.545
"245","Dynlt1a","hurdle",4.91626193890473e-21,-2.377037,-1.723692,0.653345,0.545
"44","Acot12","hurdle",1.38875164211175e-74,-3.248755,-2.269148,0.979607,0.545
"730","Tdrd7","hurdle",2.84218260178069e-17,-2.287981,-1.703193,0.584788,0.544
"515","Parp12","hurdle",6.08745004901962e-14,-1.895959,-1.363785,0.532174,0.544
"458","Mocs1","hurdle",2.02191994447044e-18,-2.089755,-1.491541,0.598214,0.544
"280","Fam160b1","hurdle",5.53235289521619e-21,-2.448848,-1.778394,0.670454,0.544
"260","Enthd2","hurdle",3.66544360823858e-25,-2.617384,-1.894443,0.722941,0.544
"17","Abat","hurdle",5.56257290947648e-19,-2.380345,-1.744486,0.635859,0.544
"5","2010001E11Rik","hurdle",9.44842527323759e-50,-3.124837,-2.233436,0.891401,0.544
"3","1810011O10Rik","hurdle",1.90432848884104e-13,-1.535811,-1.021665,0.514146,0.544
"784","Unc5b","hurdle",2.74007056577465e-41,-3.052335,-2.198587,0.853748,0.543
"424","Ltb4r2","hurdle",2.94243111639595e-61,-3.217651,-2.299599,0.918052,0.543
"301","Furin","hurdle",4.78746550155284e-14,-1.857647,-1.341437,0.51621,0.543
"65","Aim1l","hurdle",1.19675862157389e-26,-2.742915,-1.995506,0.747409,0.543
"18","Abca7","hurdle",5.67137999018934e-35,-2.951464,-2.125849,0.825615,0.543
"339","Gramd1b","hurdle",2.31977945994153e-36,-2.931915,-2.01054,0.921375,0.542
"212","Cyp2s1","hurdle",6.65788343554739e-15,-2.190103,-1.643387,0.546716,0.542
"767","Trp53i13","hurdle",7.27049400066727e-30,-2.89076,-2.131316,0.759444,0.541
"676","Slc47a1","hurdle",2.21623217554723e-61,-3.230728,-2.343339,0.887389,0.541
"380","Igsf3","hurdle",7.76693974712587e-24,-2.741213,-2.067043,0.67417,0.541
"75","Aldh4a1","hurdle",2.28789101030759e-64,-3.241517,-2.305767,0.93575,0.541
"725","Sytl3","hurdle",5.94206514441363e-50,-3.182575,-2.318182,0.864393,0.54
"631","Slc13a1","hurdle",1.83414131681368e-38,-3.023084,-2.072291,0.950793,0.54
"579","Rdh16","hurdle",7.73666413041741e-37,-3.04812,-2.251182,0.796938,0.54
"552","Pm20d1","hurdle",6.75226359926571e-19,-2.577349,-1.970794,0.606555,0.54
"322","Gm8909","hurdle",3.73342805034494e-57,-3.228342,-2.356084,0.872258,0.54
"114","Atp6v0a1","hurdle",1.62319826037909e-21,-2.691056,-2.025732,0.665324,0.54
"95","Apobec1","hurdle",4.94047875227795e-18,-2.443993,-1.804358,0.639635,0.54
"711","Srr","hurdle",2.62072573688975e-25,-2.816288,-2.104187,0.712101,0.539
"710","Spsb2","hurdle",8.74477513648504e-16,-2.377037,-1.799998,0.577039,0.539
"672","Slc41a2","hurdle",9.25687030559827e-37,-3.073599,-2.287341,0.786258,0.539
"415","Liph","hurdle",1.37520037429372e-16,-2.461405,-1.87597,0.585435,0.539
"682","Slc5a12","hurdle",4.79843063226388e-67,-3.269461,-2.227569,1.041892,0.538
"517","Parp4","hurdle",6.74721561502653e-17,-2.525886,-1.92735,0.598536,0.538
"457","Mocos","hurdle",1.51269204396404e-36,-3.080039,-2.275187,0.804852,0.538
"439","Mep1a","hurdle",8.68115442615634e-20,-2.624427,-1.970794,0.653633,0.538
"396","Kalrn","hurdle",1.33418228093308e-31,-2.933858,-2.281251,0.652607,0.538
"389","Irak2","hurdle",7.06141755685981e-17,-2.382333,-1.795651,0.586682,0.538
"234","Dlg3","hurdle",1.22476834863742e-13,-2.300461,-1.782689,0.517772,0.538
"181","Cndp1","hurdle",5.22361042620864e-32,-3.036591,-2.324431,0.71216,0.538
"31","Abhd3","hurdle",2.96547436966759e-17,-2.413851,-1.786996,0.626855,0.538
"766","Trim80","hurdle",7.88684742775821e-46,-3.179114,-2.375415,0.803699,0.537
"765","Trim40","hurdle",1.11315810335439e-19,-2.621293,-2.077558,0.543735,0.537
"487","Nab2","hurdle",2.84177911377316e-18,-2.655352,-2.046239,0.609113,0.537
"423","Ltb4r1","hurdle",3.83486446643e-55,-3.237912,-2.421553,0.816359,0.537
"224","Dcst1","hurdle",1.92253256996223e-51,-3.225959,-2.395008,0.830951,0.537
"613","Sec22c","hurdle",4.35662033632024e-25,-2.941656,-2.281251,0.660405,0.536
"600","Rwdd2b","hurdle",1.12223353116393e-13,-2.100627,-1.589721,0.510906,0.536
"597","Rilp","hurdle",2.8128129223792e-31,-3.036591,-2.299599,0.736992,0.536
"553","Pmp22","hurdle",2.74688211904002e-51,-3.070389,-1.228741,1.841648,0.536
"422","Lrrc75a","hurdle",3.44049044373142e-15,-2.514937,-1.956167,0.55877,0.536
"385","Il4ra","hurdle",2.23101293290752e-16,-2.50696,-1.917871,0.589089,0.536
"323","Gmfg","hurdle",4.62615690953166e-23,-2.847081,-2.187155,0.659926,0.536
"157","Ces1g","hurdle",3.41877015954161e-33,-2.996442,-2.170175,0.826267,0.536
"141","Cd36","hurdle",1.05079215879816e-51,-3.234316,-2.441788,0.792528,0.536
"43","Acot11","hurdle",1.05727302687287e-15,-2.469133,-1.87597,0.593163,0.536
"797","Wipf3","hurdle",3.88678767041787e-23,-2.894539,-2.239327,0.655212,0.535
"746","Tmem150b","hurdle",6.6498110116688e-14,-2.488993,-1.975702,0.513291,0.535
"723","Susd6","hurdle",2.07277018264212e-15,-2.182575,-1.659095,0.52348,0.535
"722","Susd2","hurdle",6.17104794091443e-59,-3.268234,-2.388447,0.879787,0.535
"626","Sh3d21","hurdle",5.2580692641185e-23,-2.900227,-2.239327,0.6609,0.535
"558","Ppargc1a","hurdle",2.33000516694859e-23,-2.904984,-2.233436,0.671548,0.535
"334","Gpr160","hurdle",8.10713520377508e-17,-2.562994,-1.961026,0.601968,0.535
"281","Fam20a","hurdle",5.05273712096223e-21,-2.846166,-2.204337,0.641829,0.535
"254","Elmo2","hurdle",2.32006192638969e-17,-2.631505,-2.02065,0.610855,0.535
"768","Trp53inp2","hurdle",1.18414362593783e-17,-2.690235,-2.109572,0.580663,0.534
"744","Tmem135","hurdle",7.01416041061744e-13,-2.311786,-1.791317,0.520469,0.534
"641","Slc23a2","hurdle",1.28513909796908e-19,-2.799362,-2.153393,0.645969,0.534
"599","Rnd2","hurdle",8.95913254703131e-29,-3.016892,-2.293457,0.723435,0.534
"335","Gpr39","hurdle",3.45969238569261e-14,-2.532495,-1.980628,0.551867,0.534
"333","Gpr155","hurdle",1.57030768690534e-34,-3.081116,-2.275187,0.805929,0.534
"289","Fam78a","hurdle",3.54928251106729e-46,-3.224769,-2.476155,0.748614,0.534
"78","Aldoc","hurdle",2.63434352337546e-22,-2.893594,-2.227569,0.666025,0.534
"783","Ugt2b5","hurdle",1.23247758666369e-35,-3.129283,-2.281251,0.848032,0.533
"763","Trim30d","hurdle",1.31849222252877e-21,-2.920311,-2.293457,0.626854,0.533
"540","Pitpnm1","hurdle",9.95844459062583e-19,-2.845252,-2.269148,0.576104,0.533
"400","Kifc3","hurdle",2.16871521998563e-24,-2.986325,-2.330706,0.655619,0.533
"362","Hes2","hurdle",6.54712380076134e-55,-3.268234,-2.511362,0.756872,0.533
"248","Edn3","hurdle",1.93437215854557e-42,-3.22002,-2.497176,0.722844,0.533
"627","Shpk","hurdle",9.95549415149679e-24,-3.012779,-2.388447,0.624332,0.532
"347","Gstm4","hurdle",6.14970582558407e-20,-2.471248,-1.857731,0.613517,0.532
"136","Car2","hurdle",4.62801825960542e-19,-2.816288,-2.187155,0.629133,0.532
"130","Btd","hurdle",5.92196875547751e-18,-2.765229,-2.153393,0.611836,0.532
"708","Sprr2a1","hurdle",1.26388100559801e-49,-3.270688,-2.518508,0.75218,0.531
"595","Rhof","hurdle",8.86930740261566e-36,-3.181421,-2.414871,0.76655,0.531
"500","Oas3","hurdle",4.41129655119524e-11,-2.307371,-1.791317,0.516054,0.531
"171","Clca4a","hurdle",6.46232057782643e-45,-3.139337,-1.099893,2.039444,0.531
"698","Snta1","hurdle",2.80607812732957e-27,-3.118194,-2.497176,0.621018,0.53
"662","Slc35e2","hurdle",1.96512890183446e-18,-2.893594,-2.299599,0.593995,0.53
"563","Ppp2r5b","hurdle",3.28605671775997e-17,-2.818081,-2.227569,0.590512,0.53
"430","Maob","hurdle",2.53111661634571e-23,-3.014834,-2.349697,0.665137,0.53
"309","Gch1","hurdle",2.5310654477103e-09,-2.100627,-1.559928,0.540699,0.53
"237","Dnah2","hurdle",3.16360017360034e-46,-3.260899,-2.532906,0.727993,0.53
"202","Cyp1a1","hurdle",1.35846297914782e-63,-3.310523,-2.381916,0.928607,0.53
"127","Bmp1","hurdle",4.66041625363151e-22,-2.985317,-2.324431,0.660886,0.53
"45","Acot4","hurdle",1.79170598798295e-17,-2.887932,-2.305767,0.582165,0.53
"12","2210019I11Rik","hurdle",5.73946512674264e-19,-2.807355,-2.131316,0.676039,0.53
"796","Vwce","hurdle",1.28998010860058e-20,-2.992387,-2.381916,0.610471,0.529
"762","Trim15","hurdle",5.64703348681462e-29,-3.127058,-2.483128,0.64393,0.529
"376","Ifit1","hurdle",5.4905976673627e-13,-2.538396,-1.98557,0.552826,0.529
"116","Atp7b","hurdle",2.80593366982898e-17,-2.888874,-2.311961,0.576913,0.529
"108","Arsg","hurdle",3.52005555883115e-24,-3.066121,-2.408219,0.657902,0.529
"444","Mfsd6l","hurdle",4.43698094396146e-18,-2.971281,-2.401598,0.569683,0.528
"372","Hsd3b3","hurdle",1.74337646355779e-20,-2.991375,-2.448596,0.542779,0.528
"605","Sardh","hurdle",5.4681878833032e-41,-3.267009,-2.62245,0.644559,0.527
"581","Rdh9","hurdle",1.96501744213384e-47,-3.291713,-2.62245,0.669263,0.527
"421","Lrrc19","hurdle",1.02987925824418e-24,-3.12817,-2.518508,0.609662,0.527
"318","Glyctk","hurdle",1.9133411356752e-18,-3.000509,-2.421553,0.578956,0.527
"660","Slc35d2","hurdle",3.67459944165445e-16,-2.981293,-2.441788,0.539505,0.526
"434","Mb21d2","hurdle",3.51243300590507e-14,-2.900227,-2.395008,0.505219,0.526
"800","Xkr9","hurdle",4.05855557720974e-23,-3.14158,-2.562141,0.579439,0.525
"714","Stab1","hurdle",2.81091784858622e-42,-3.287981,-2.669397,0.618584,0.525
"640","Slc23a1","hurdle",1.08422178268198e-42,-3.291713,-2.693456,0.598257,0.525
"506","Oplah","hurdle",9.02995167910938e-18,-3.042868,-2.490135,0.552733,0.525
"502","Ocm","hurdle",6.86006139421591e-33,-3.236712,-2.562141,0.674571,0.525
"46","Acot9","hurdle",1.37389800044038e-17,-3.033463,-2.483128,0.550335,0.525
"572","Ptk6","hurdle",5.1533723895323e-23,-3.152851,-2.607135,0.545716,0.524
"602","S100g","hurdle",7.32622958716491e-21,-2.0428683,-0.5754924,1.4673759,0.523
"485","Myzap","hurdle",4.40619945381332e-14,-2.918386,-2.388447,0.529939,0.523
"758","Tpm2","hurdle",8.63865966358189e-18,-3.103904,-2.554776,0.549128,0.522
"60","Adora2b","hurdle",2.98210771020937e-28,-3.245131,-2.709721,0.53541,0.522
"568","Proz","hurdle",7.60134758982596e-33,-3.281781,-2.742812,0.538969,0.521
"431","Mapre3","hurdle",1.75159029117555e-23,-3.222392,-2.685391,0.537001,0.521
"576","Rab30","hurdle",1.72181847888174e-20,-3.129283,-2.287341,0.841942,0.52
"279","Fam151a","hurdle",6.6222985538877e-28,-3.254814,-2.653578,0.601236,0.519
"121","Bbox1","hurdle",9.19916344347998e-19,-3.198838,-2.677372,0.521466,0.518
"9","2010109I03Rik","hurdle",7.36834073796775e-22,-2.84342418,-0.03364375,2.80978043,0.516
"435","Mbl2","hurdle",3.63442502647334e-22,-3.294207,-2.776679,0.517528,0.514
"336","Gprc5a","hurdle",1.02481172299357e-19,-3.200006,-2.131316,1.06869,0.514
"498","Nt5e","hurdle",9.51478800935767e-15,-3.281781,-2.554776,0.727005,0.509
"111","Atf3","hurdle",9.39849935917138e-12,-2.965307,-1.830797,1.13451,0.509
"53","Ada","hurdle",1.13217632540812e-74,-1.7121598,0.5214079,2.2335677,0.508
"651","Slc28a2","hurdle",2.6592365080932e-53,-2.715081,-1.379963,1.335118,0.505
"174","Cldn4","hurdle",1.53052381647834e-41,-1.657758,-1.113353,0.544405,0.466
