"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.PreEnt","log2fold_change","Auc"
"689","Srxn1","hurdle",2.66932049412158e-85,-1.926403,-0.511899,1.414504,0.649
"179","Clic5","hurdle",1.66211213340475e-107,-2.2448974,-0.6758253,1.5690721,0.649
"164","Chchd7","hurdle",2.54825488777139e-51,0.5214331,1.2113764,0.6899433,0.649
"735","Trim31","hurdle",8.59623918818727e-73,-1.5840768,-0.3574935,1.2265833,0.648
"284","Fcgrt","hurdle",2.57970676756572e-76,-1.7221929,-0.4187896,1.3034033,0.648
"9","2010107E04Rik","hurdle",4.90706728671496e-44,1.883515,2.421813,0.538298,0.648
"346","Hadh","hurdle",7.23465341507914e-44,1.296925,1.830719,0.533794,0.646
"317","Gnb1","hurdle",8.32501984120394e-45,0.8299181,1.4273972,0.5974791,0.646
"282","Fbp2","hurdle",2.12350967010649e-45,1.007573,1.5943,0.586727,0.646
"543","Plpp1","hurdle",2.33605980431623e-79,-1.7768062,-0.4440564,1.3327498,0.645
"402","Lpgat1","hurdle",1.16169351601298e-56,-1.02647677,-0.01317539,1.01330138,0.645
"779","Zzef1","hurdle",2.1343567894897e-68,-1.486717,-0.2735651,1.2131519,0.644
"772","Xpnpep1","hurdle",6.81003615056008e-58,-0.97139224,0.01491171,0.98630395,0.644
"203","Cth","hurdle",2.98901871215668e-60,-0.8451056,0.1306742,0.9757798,0.644
"167","Chp2","hurdle",1.03775682368192e-116,-2.6062348,-0.8744691,1.7317657,0.643
"145","Cdhr2","hurdle",1.14520956845755e-66,-0.4446427,0.1203692,0.5650119,0.643
"80","Amn","hurdle",1.31192982500501e-53,-0.9608149,-0.0226606,0.9381543,0.643
"744","Tubal3","hurdle",8.23087621538686e-104,-2.4380925,-0.7975517,1.6405408,0.642
"486","Nfe2l2","hurdle",6.95184383911837e-54,-0.428654,0.4183126,0.8469666,0.642
"739","Tspan15","hurdle",2.51107130080583e-51,-0.2866464,0.5000736,0.78672,0.641
"614","Sgpl1","hurdle",1.08071198313386e-57,-1.2473493,-0.2115041,1.0358452,0.641
"545","Pls1","hurdle",2.82128428413843e-45,-0.3217435,0.3756262,0.6973697,0.641
"470","Naprt","hurdle",7.33412863007158e-49,-0.6471208,0.2138017,0.8609225,0.641
"216","Cyp3a13","hurdle",2.62955758101842e-89,-1.5573926,-0.4038393,1.1535533,0.641
"631","Slc26a3","hurdle",8.34646156505536e-94,-2.2519138,-0.6999714,1.5519424,0.64
"400","Lmna","hurdle",7.64050985111069e-59,-1.1672326,-0.0671142,1.1001184,0.64
"605","Sec23a","hurdle",6.41090034914181e-69,-1.7315613,-0.4671811,1.2643802,0.639
"61","Ak2","hurdle",1.09354936274e-41,1.104211,1.626212,0.522001,0.639
"54","Adipor2","hurdle",1.25314767009046e-48,-0.6333121,0.2378339,0.871146,0.639
"763","Vat1","hurdle",1.26366204314168e-74,-1.9091997,-0.5608086,1.3483911,0.638
"666","Slc7a8","hurdle",1.46971378262832e-64,-1.6443485,-0.4620102,1.1823383,0.638
"303","Gde1","hurdle",2.15053357163328e-89,-1.4624373,-0.3743955,1.0880418,0.638
"262","Erich4","hurdle",9.98262691757067e-94,-2.263093,-0.771731,1.491362,0.638
"96","Aqp11","hurdle",6.46421513976374e-53,-1.0008863,-0.0553849,0.9455014,0.638
"456","Myl12b","hurdle",1.02750380704537e-40,1.366297,1.902637,0.53634,0.637
"698","Svip","hurdle",2.1995770923897e-52,-0.8847727,0.02783421,0.91260691,0.636
"250","Elovl6","hurdle",3.21509238846966e-65,-1.5877709,-0.3695461,1.2182248,0.636
"573","Rbp7","hurdle",2.39490014068535e-76,-1.74469771,-0.06515268,1.67954503,0.634
"437","Mlx","hurdle",1.04750369179365e-51,-1.05304,-0.1211091,0.9319309,0.634
"394","Letm1","hurdle",4.47288131270262e-47,-0.80649994,0.04790998,0.85440992,0.634
"148","Cdk2ap2","hurdle",2.62296630318707e-36,0.9390745,1.4767015,0.537627,0.634
"661","Slc6a19","hurdle",1.62776454343014e-110,-1.706445,-0.6878478,1.0185972,0.633
"610","Sema4g","hurdle",2.55771208510996e-50,-0.8504207,0.1169178,0.9673385,0.633
"562","Prr13","hurdle",1.10754557094881e-36,1.038874,1.566103,0.527229,0.633
"390","Lasp1","hurdle",4.52431541004521e-45,-0.3113229,0.457045,0.7683679,0.633
"603","Sec13","hurdle",1.40851842658383e-46,0.08614773,0.82808289,0.74193516,0.632
"333","Gstk1","hurdle",1.13773810194391e-76,-2.1506365,-0.7653474,1.3852891,0.632
"161","Ces2g","hurdle",1.57886553138186e-71,-1.8753964,-0.5552916,1.3201048,0.632
"723","Tmem54","hurdle",2.01904258962744e-34,0.9743878,1.4814063,0.5070185,0.631
"721","Tmem253","hurdle",1.04575610184201e-91,-2.4827909,-0.9888018,1.4939891,0.631
"583","Rhoc","hurdle",1.07204939522817e-55,-1.2461812,-0.1857026,1.0604786,0.631
"531","Pklr","hurdle",1.29704956964306e-59,-1.6412743,-0.4620102,1.1792641,0.631
"58","Ahcyl2","hurdle",3.17340764094924e-43,-0.1079985,0.6268184,0.7348169,0.631
"756","Uqcrb","hurdle",1.23228923944922e-38,1.063282,1.772132,0.70885,0.63
"563","Prss32","hurdle",1.13530252814259e-35,0.6379098,1.2057012,0.5677914,0.63
"695","Sult1d1","hurdle",7.19867523795577e-49,-1.2485183,-0.2781019,0.9704164,0.629
"367","Ifi30","hurdle",1.11015781468128e-38,0.1874181,0.8132315,0.6258134,0.629
"228","Dgat2","hurdle",3.50304246368614e-72,-1.7225989,-0.5943612,1.1282377,0.629
"224","Ddc","hurdle",2.66880655137395e-49,-1.1816752,-0.1963972,0.985278,0.629
"141","Cd82","hurdle",6.63063591505505e-45,-0.6955228,0.145995,0.8415178,0.628
"33","Abr","hurdle",5.17682595294479e-49,-1.2741818,-0.2895066,0.9846752,0.628
"266","Ezr","hurdle",7.25498196922719e-34,0.02952432,0.61218397,0.58265965,0.627
"473","Ncln","hurdle",3.42465069414159e-43,-0.8488684,-0.02075856,0.82810984,0.626
"345","H2-T3","hurdle",1.10750615559404e-44,-1.166956,-0.271302,0.895654,0.626
"19","Abat","hurdle",1.9596640668301e-88,-2.4684179,-0.9305032,1.5379147,0.626
"426","Mgam","hurdle",5.36041694368505e-34,0.3194057,0.9773394,0.6579337,0.625
"86","Ano6","hurdle",3.63780554432031e-43,-1.0147432,-0.1899709,0.8247723,0.625
"6","2010003K11Rik","hurdle",1.31826936676042e-90,-2.3889251,-0.7845836,1.6043415,0.625
"705","Tgfbi","hurdle",2.75390970876404e-67,-1.9744355,-0.7400917,1.2343438,0.624
"330","Gsdmd","hurdle",2.46604511568272e-48,-1.1029148,-0.2600397,0.8428751,0.624
"766","Vmp1","hurdle",7.75418282784813e-40,-0.1892878,0.526329,0.7156168,0.623
"727","Tmem86b","hurdle",1.53677834145727e-71,-2.1550142,-0.7910531,1.3639611,0.623
"376","Iqgap2","hurdle",1.27000221809927e-48,-1.3900212,-0.4263233,0.9636979,0.623
"520","Pex16","hurdle",4.39122434441784e-43,-0.9307127,-0.0908628,0.8398499,0.622
"315","Gmppb","hurdle",4.49630882058928e-45,-1.4160551,-0.4645933,0.9514618,0.621
"166","Chmp6","hurdle",8.06428703209871e-38,-0.5926616,0.1476873,0.7403489,0.621
"592","Sar1b","hurdle",1.28841449049966e-35,0.4822415,1.0397309,0.5574894,0.62
"421","Me2","hurdle",7.13246752294083e-33,-0.04266009,0.57367669,0.61633678,0.62
"364","Id3","hurdle",1.29395765986992e-30,0.4592437,1.0721726,0.6129289,0.62
"197","Cpt2","hurdle",7.79973185746753e-41,-1.0573871,-0.2158496,0.8415375,0.62
"12","2210016F16Rik","hurdle",2.02278608040359e-34,-0.3123922,0.3567292,0.6691214,0.62
"461","Myo1d","hurdle",4.93985477655626e-42,-1.0393178,-0.1457711,0.8935467,0.619
"372","Ihh","hurdle",4.28081924348644e-64,-2.1610555,-0.9198297,1.2412258,0.619
"302","Gda","hurdle",2.99980892863139e-93,-1.5205625,-0.6579773,0.8625852,0.619
"641","Slc35c2","hurdle",9.61265674350525e-41,-1.1699988,-0.2849339,0.8850649,0.618
"488","Nomo1","hurdle",1.47076280398993e-33,-0.4581032,0.2425926,0.7006958,0.618
"201","Cs","hurdle",3.16610582855235e-30,0.3675084,0.9051408,0.5376324,0.618
"590","S100a16","hurdle",2.58737177250082e-34,-0.70893702,0.03516685,0.74410387,0.617
"519","Pepd","hurdle",2.21382745820131e-34,-0.67927342,0.06413034,0.74340376,0.617
"325","Gpt","hurdle",1.58060052756401e-65,-1.8019016,-0.7878147,1.0140869,0.617
"117","BC021614","hurdle",3.18862897787471e-78,-2.2911264,-0.8304914,1.460635,0.617
"130","Capns1","hurdle",3.06692318849099e-32,-0.1473891,0.4787197,0.6261088,0.616
"627","Slc25a15","hurdle",4.00231976293783e-33,-0.6917414,0.01676488,0.70850628,0.615
"591","S100g","hurdle",6.65359398840166e-78,-2.0534485,-0.1333874,1.9200611,0.615
"360","Hsd17b2","hurdle",1.21167183236776e-74,-2.373539,-1.034126,1.339413,0.615
"363","Htatip2","hurdle",3.44295765335208e-44,-1.253497,-0.319588,0.933909,0.614
"1","1110008P14Rik","hurdle",6.42818068728676e-39,-1.2861361,-0.4162871,0.869849,0.614
"383","Klc4","hurdle",4.11287548288667e-45,-1.3848703,-0.4212965,0.9635738,0.613
"260","Ephx2","hurdle",3.75551150549653e-39,-0.9267305,-0.2399865,0.686744,0.613
"127","C77080","hurdle",1.74751586278406e-39,-1.1274384,-0.2399865,0.8874519,0.613
"8","2010106E10Rik","hurdle",2.16304938294695e-80,-2.3332938,-0.9962576,1.3370362,0.613
"733","Trappc2l","hurdle",8.44196215576035e-36,-0.1754639,0.4679231,0.643387,0.612
"648","Slc3a1","hurdle",1.08628133418514e-56,-2.1038667,-0.9484697,1.155397,0.612
"613","Sfn","hurdle",5.28357663511114e-27,0.2553848,0.8217367,0.5663519,0.612
"571","Rbm47","hurdle",3.53621855185515e-30,-0.2781158,0.3346128,0.6127286,0.612
"36","Acadvl","hurdle",3.34556907035774e-34,-0.1013827,0.5276293,0.629012,0.612
"491","Nqo1","hurdle",4.1638239667756e-66,-2.3526474,-0.9850883,1.3675591,0.611
"71","Aldh1l1","hurdle",4.76948248058101e-55,-2.1289447,-0.9557194,1.1732253,0.611
"3","1700019G17Rik","hurdle",2.17357768385599e-56,-2.0797373,-0.8472476,1.2324897,0.611
"683","Spint1","hurdle",2.96616668919391e-30,-0.4978645,0.1611548,0.6590193,0.61
"233","Dlst","hurdle",1.41083065573541e-29,-0.5766067,0.1012833,0.67789,0.609
"120","Bche","hurdle",5.88915148410914e-54,-2.1305603,-0.9340786,1.1964817,0.609
"728","Tmem9b","hurdle",1.05522819047425e-36,-1.1320159,-0.2940939,0.837922,0.608
"678","Soat2","hurdle",9.2930702253814e-51,-1.8772035,-0.8813555,0.995848,0.608
"155","Cebpb","hurdle",5.38830270775725e-26,0.4138742,0.9377846,0.5239104,0.608
"47","Actn4","hurdle",2.5421306999052e-28,0.1002213,0.6897348,0.5895135,0.607
"565","Ptprh","hurdle",6.26943587846911e-57,-2.269012,-1.108934,1.160078,0.606
"512","Pbld2","hurdle",1.9923413279237e-33,-1.2247406,-0.4038393,0.8209013,0.606
"59","Ahnak","hurdle",7.91353278851233e-64,-2.298977,-1.183573,1.115404,0.605
"778","Zfyve21","hurdle",3.95897464262419e-31,-0.60103654,0.08017035,0.68120689,0.604
"570","Rab4a","hurdle",2.74518518592388e-32,-1.05304,-0.2940939,0.7589461,0.604
"212","Cyp2c68","hurdle",5.89445800741313e-62,-2.406433,-1.065153,1.34128,0.604
"132","Car9","hurdle",8.15527480390538e-25,-0.2976457,0.2583427,0.5559884,0.604
"403","Lrp1","hurdle",2.11610876717745e-41,-1.7250377,-0.7400917,0.984946,0.603
"279","Fam98c","hurdle",2.43127187188331e-26,-0.4606411,0.1443007,0.6049418,0.603
"734","Treh","hurdle",6.26946287783777e-86,-1.5170364,-0.9269365,0.5900999,0.602
"568","Rab17","hurdle",1.37615971004813e-37,-1.3137069,-0.4415097,0.8721972,0.602
"483","Neat1","hurdle",2.71495282626293e-26,-0.72735836,-0.06907838,0.65827998,0.602
"338","Gstp1","hurdle",1.27512525797787e-24,-0.01193634,0.53798984,0.54992618,0.602
"28","Abcg8","hurdle",3.15200340100985e-43,-1.7784938,-0.8573956,0.9210982,0.602
"720","Tmem252","hurdle",6.32311452272152e-47,-1.9362592,-0.8040798,1.1321794,0.601
"593","Sat1","hurdle",2.16683332424977e-22,-0.07599675,0.42809365,0.5040904,0.601
"442","Mpi","hurdle",6.60863272392306e-39,-1.6900728,-0.7307336,0.9593392,0.601
"715","Tmem139","hurdle",6.61249184646318e-66,-2.623572,-1.317252,1.30632,0.6
"296","Galm","hurdle",7.74008815413065e-27,-0.9129947,-0.24664,0.6663547,0.6
"770","Xdh","hurdle",2.49560928002855e-43,-1.5244513,-0.7558246,0.7686267,0.599
"500","Oit1","hurdle",1.51318526446002e-23,-0.2190574,0.3508646,0.569922,0.599
"776","Zdhhc7","hurdle",1.04790281730364e-36,-1.6683978,-0.7400917,0.9283061,0.598
"623","Slc22a18","hurdle",1.40895000364188e-39,-1.8690894,-0.8676154,1.001474,0.598
"608","Sec31a","hurdle",1.06769073735166e-23,-0.56327184,0.03150519,0.59477703,0.598
"485","Neurl3","hurdle",6.8054954229461e-27,-0.9754998,-0.2781019,0.6973979,0.598
"438","Mme","hurdle",5.81268741317208e-44,-1.756291,-0.8882749,0.8680161,0.598
"410","Mal2","hurdle",5.19602471566571e-39,-1.846344,-0.8744691,0.9718749,0.598
"389","Larp1b","hurdle",3.26476536869779e-30,-0.75741388,-0.03604554,0.72136834,0.598
"361","Hsd17b6","hurdle",1.27913328472738e-65,-2.276744,-1.061238,1.215506,0.598
"119","BC030870","hurdle",2.68151426502782e-33,-1.5599301,-0.7091314,0.8507987,0.598
"218","Cyp4f16","hurdle",8.95668421986206e-34,-1.6063846,-0.7183499,0.8880347,0.597
"759","Ush1c","hurdle",6.07124960753667e-28,-0.74705024,-0.09485919,0.65219105,0.596
"621","Slc16a5","hurdle",5.41120750414805e-63,-2.62509,-1.32662,1.29847,0.596
"368","Ift172","hurdle",7.34370545127422e-39,-1.915685,-0.9962576,0.9194274,0.596
"27","Abcg5","hurdle",3.82480862174456e-45,-2.118754,-1.026472,1.092282,0.596
"730","Tob1","hurdle",1.31929686448197e-29,-1.3884096,-0.5971928,0.7912168,0.595
"585","Rmdn3","hurdle",1.74195890983484e-27,-1.2473493,-0.5012518,0.7460975,0.595
"430","Mical1","hurdle",1.58327364186216e-45,-2.012656,-1.037968,0.974688,0.595
"248","Ehd1","hurdle",2.83627784691866e-30,-1.463455,-0.6462001,0.8172549,0.595
"626","Slc25a11","hurdle",9.14759376249667e-21,-0.1605327,0.344976,0.5055087,0.594
"329","Gsdmc4","hurdle",1.45419236335311e-72,-2.6966791,-0.9925249,1.7041542,0.594
"214","Cyp2j6","hurdle",1.60773106529447e-26,-1.1545759,-0.4212965,0.7332794,0.594
"731","Tprn","hurdle",2.90350736633797e-39,-1.6172917,-0.6938969,0.9233948,0.593
"463","Myo7a","hurdle",7.07527242572593e-66,-2.757788,-1.393958,1.36383,0.592
"257","Entpd5","hurdle",1.26220674676639e-37,-2.000295,-1.003752,0.996543,0.592
"62","Akr1b7","hurdle",2.18815199910534e-55,-2.132178,-1.037968,1.09421,0.591
"748","Ube4b","hurdle",2.06926890109546e-25,-1.0827054,-0.3890423,0.6936631,0.59
"712","Tmed4","hurdle",9.03954371399845e-28,-0.3834892,0.2138017,0.5972909,0.59
"492","Nr1h3","hurdle",3.93916421817347e-30,-1.6932528,-0.8573956,0.8358572,0.59
"304","Gdpd1","hurdle",2.64279196675368e-21,-0.6861868,-0.1028853,0.5833015,0.59
"50","Adap1","hurdle",1.22772929327468e-36,-2.03316,-1.034126,0.999034,0.59
"670","Slco2b1","hurdle",2.76154595623894e-42,-2.309919,-1.231163,1.078756,0.589
"586","Rragd","hurdle",3.65199783308549e-35,-2.039217,-1.09286,0.946357,0.589
"549","Por","hurdle",7.9189599478553e-28,-1.5650184,-0.7558246,0.8091938,0.589
"417","Mcu","hurdle",5.134921291129e-24,-1.3015229,-0.6316126,0.6699103,0.589
"270","Fam101b","hurdle",1.75827329477681e-29,-1.6424264,-0.7910531,0.8513733,0.589
"211","Cyp2c65","hurdle",2.43540223522675e-34,-1.952837,-1.045683,0.907154,0.589
"66","Alas1","hurdle",4.10779224164342e-28,-1.4506171,-0.6668737,0.7837434,0.589
"732","Tradd","hurdle",6.29878585876661e-21,-0.9434354,-0.3623024,0.581133,0.588
"637","Slc2a5","hurdle",2.25401714057353e-56,-2.571441,-1.438968,1.132473,0.588
"569","Rab3gap2","hurdle",1.94445365845257e-35,-2.009184,-1.018859,0.990325,0.588
"540","Plgrkt","hurdle",2.12113316183287e-21,-0.09782271,0.43087609,0.5286988,0.588
"264","Ethe1","hurdle",2.12028386464879e-24,-1.1433877,-0.5971928,0.5461949,0.588
"35","Acadm","hurdle",1.25111372741984e-25,-0.8147015,-0.1878352,0.6268663,0.588
"336","Gstm6","hurdle",5.67116976085919e-26,-1.3781376,-0.6000299,0.7781077,0.587
"230","Dhcr24","hurdle",4.56872459903422e-22,-1.1661276,-0.5280187,0.6381089,0.587
"103","Atg4d","hurdle",1.31319682911539e-22,-1.2081557,-0.5608086,0.6473471,0.587
"14","4931406C07Rik","hurdle",1.86596329911558e-22,-1.0055728,-0.3574935,0.6480793,0.587
"644","Slc35f5","hurdle",1.25718292469505e-29,-1.7621228,-0.9127576,0.8493652,0.586
"580","Retsat","hurdle",1.24251574041557e-23,-1.3315584,-0.6229304,0.708628,0.586
"321","Got1","hurdle",4.23066037199751e-26,-1.5730509,-0.8040798,0.7689711,0.586
"253","Endog","hurdle",6.87177108291602e-21,-0.590807123,-0.009398698,0.581408425,0.586
"181","Cml5","hurdle",3.40139060388469e-63,-2.715146,-1.393958,1.321188,0.586
"108","Atp6v0d1","hurdle",7.07767085181894e-27,-1.5577548,-0.7910531,0.7667017,0.586
"40","Acot11","hurdle",4.04455673316835e-45,-2.498004,-1.423808,1.074196,0.586
"409","Maf","hurdle",2.14791378319918e-52,-2.571441,-1.39889,1.172551,0.585
"356","Hmgcs1","hurdle",9.77008227344565e-25,-1.321067,-0.5388661,0.7822009,0.585
"188","Comtd1","hurdle",1.1749855192128e-18,-0.62721705,-0.08687745,0.5403396,0.585
"55","Adtrp","hurdle",6.077060619937e-23,-1.071283,-0.413789,0.657494,0.585
"646","Slc39a4","hurdle",9.09393876597109e-24,-1.367303,-0.6143,0.753003,0.584
"599","Scrn2","hurdle",2.04400827970361e-22,-1.3603357,-0.6969309,0.6634048,0.584
"538","Plekhb2","hurdle",1.91217833126906e-20,-0.767643,-0.1835732,0.5840698,0.584
"297","Galnt6","hurdle",4.55880686524068e-23,-1.3858347,-0.7214359,0.6643988,0.584
"215","Cyp2s1","hurdle",2.44759021222862e-35,-2.213739,-1.235568,0.978171,0.584
"261","Eps8l2","hurdle",5.61243913757072e-19,-0.9481761,-0.3598959,0.5882802,0.583
"204","Ctnnbip1","hurdle",1.35168965775439e-17,-0.3699087,0.1357992,0.5057079,0.583
"68","Aldh18a1","hurdle",3.31143247964668e-18,-0.7218681,-0.1878352,0.5340329,0.583
"774","Zbtb7b","hurdle",3.28344273801161e-24,-1.4950175,-0.7526643,0.7423532,0.582
"628","Slc25a24","hurdle",8.48854161448074e-40,-2.416909,-1.364713,1.052196,0.582
"424","Metrnl","hurdle",2.64986522443604e-21,-1.1087414,-0.4620102,0.6467312,0.582
"295","Gal3st2","hurdle",1.7288471097916e-41,-2.362739,-1.321928,1.040811,0.582
"118","BC025446","hurdle",4.66161043417824e-40,-2.413627,-1.336049,1.077578,0.582
"79","Amdhd2","hurdle",1.32565760299085e-24,-1.6282818,-0.8779082,0.7503736,0.582
"713","Tmem106a","hurdle",1.68419358692232e-35,-2.266642,-1.257798,1.008844,0.581
"604","Sec14l2","hurdle",1.10796632314197e-35,-1.908738,-1.088869,0.819869,0.581
"547","Pmm2","hurdle",2.04893280243315e-20,-1.1159244,-0.4906826,0.6252418,0.581
"502","Orai1","hurdle",1.23435621459673e-23,-1.68018,-0.959358,0.720822,0.581
"474","Ndfip1","hurdle",1.64807431394447e-28,-1.7793384,-0.9198297,0.8595087,0.581
"244","Edn2","hurdle",4.88119671615945e-55,-2.751145,-1.433897,1.317248,0.581
"663","Slc6a4","hurdle",7.73835435582082e-33,-2.26605,-1.35031,0.91574,0.58
"635","Slc28a3","hurdle",6.26355595242309e-52,-2.756956,-1.549796,1.20716,0.58
"205","Cx3cl1","hurdle",1.52208120525528e-43,-2.558335,-1.428843,1.129492,0.58
"189","Coro1c","hurdle",1.28332159475757e-16,-0.7101444,-0.1921099,0.5180345,0.58
"687","Sqrdl","hurdle",5.47089202673504e-25,-1.5294158,-0.7621661,0.7672497,0.579
"679","Sowaha","hurdle",5.05798919527212e-58,-2.878379,-1.652077,1.226302,0.579
"518","Pdzd3","hurdle",2.87118469358995e-43,-2.572904,-1.459432,1.113472,0.579
"285","Fdps","hurdle",6.94399605493251e-17,-0.50134409,0.06413034,0.56547443,0.579
"225","Deb1","hurdle",2.06857068353275e-18,-0.8389292,-0.2803756,0.5585536,0.579
"122","Bco2","hurdle",3.37191890430446e-42,-2.546784,-1.438968,1.107816,0.579
"13","4833439L19Rik","hurdle",1.11310877958128e-17,-0.8431174,-0.2849339,0.5581835,0.579
"724","Tmem8","hurdle",2.16593554359491e-19,-1.3730289,-0.7432246,0.6298043,0.578
"546","Pm20d1","hurdle",1.16781559436645e-45,-2.612994,-1.469774,1.14322,0.578
"306","Gimd1","hurdle",2.84854479243462e-28,-1.921267,-1.149923,0.771344,0.578
"286","Flnb","hurdle",1.69774849217353e-21,-1.466172,-0.771731,0.694441,0.578
"277","Fam3b","hurdle",3.07596367103431e-47,-2.651908,-1.511899,1.140009,0.578
"111","AU040320","hurdle",5.30761980497495e-20,-1.3508886,-0.6848328,0.6660558,0.578
"83","Ankrd13a","hurdle",1.37839763286132e-17,-0.962013,-0.3671275,0.5948855,0.578
"26","Abcg2","hurdle",1.66860201158234e-25,-1.841926,-1.045683,0.796243,0.578
"729","Tnfaip1","hurdle",3.51005284375991e-16,-0.7576219,-0.2399865,0.5176354,0.577
"324","Gpr89","hurdle",1.95401899471093e-18,-0.8669333,-0.3033124,0.5636209,0.577
"668","Slc9a2","hurdle",1.96072168452053e-31,-2.267234,-1.321928,0.945306,0.576
"607","Sec24d","hurdle",4.98908647803537e-39,-2.495226,-1.517252,0.977974,0.575
"292","Fzd5","hurdle",1.19725012987513e-21,-1.6896758,-0.9484697,0.7412061,0.575
"281","Fblim1","hurdle",1.06668338845197e-16,-1.1855885,-0.6200478,0.5655407,0.575
"151","Cdr2","hurdle",3.2941108703587e-32,-2.286316,-1.298696,0.98762,0.575
"725","Tmem82","hurdle",4.00596919768421e-20,-1.6244827,-0.9448584,0.6796243,0.574
"467","Nagk","hurdle",3.2603292022533e-16,-1.0249735,-0.4906826,0.5342909,0.574
"300","Gchfr","hurdle",1.87669969151008e-30,-1.818299,-1.158262,0.660037,0.574
"294","Gal3st1","hurdle",7.04292222848893e-21,-1.6766353,-0.9776898,0.6989455,0.574
"198","Crat","hurdle",5.82486313569162e-28,-2.208042,-1.374396,0.833646,0.574
"175","Clcn2","hurdle",1.29285572537226e-24,-1.955698,-1.20501,0.750688,0.574
"126","C2cd2l","hurdle",1.76189056070832e-37,-2.518305,-1.566347,0.951958,0.574
"620","Slc13a1","hurdle",9.74523330718412e-67,-3.028935,-1.724528,1.304407,0.573
"596","Scin","hurdle",4.18535103232246e-46,-2.564873,-1.544321,1.020552,0.573
"271","Fam109a","hurdle",1.77815258440628e-19,-1.4984902,-0.8205303,0.6779599,0.573
"49","Adamtsl5","hurdle",9.9800601621995e-44,-2.736309,-1.657977,1.078332,0.573
"7","2010103J01Rik","hurdle",3.96484172943806e-57,-2.940315,-1.807355,1.13296,0.573
"703","Tep1","hurdle",2.85018409318042e-20,-1.6497441,-0.9412562,0.7084879,0.571
"358","Hpgd","hurdle",3.07351711940138e-15,-1.1135261,-0.5608086,0.5527175,0.571
