"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.PreEnt","log2fold_change","Auc"
"243","Eci3","hurdle",2.89539327694681e-40,-2.571441,-1.506566,1.064875,0.571
"147","Cdk18","hurdle",4.83371369370055e-23,-2.025625,-1.275832,0.749793,0.571
"85","Anks4b","hurdle",5.55763045692534e-26,-2.079737,-1.213675,0.866062,0.571
"622","Slc1a1","hurdle",4.48189529598145e-24,-2.103867,-1.289507,0.81436,0.57
"377","Itga3","hurdle",1.07508052107336e-24,-2.041241,-1.222392,0.818849,0.57
"245","Efnb2","hurdle",5.43475375336829e-53,-2.945993,-1.743225,1.202768,0.57
"101","Arl4a","hurdle",2.01954125916707e-18,-1.3733477,-0.7369656,0.6363821,0.57
"84","Ankrd9","hurdle",4.12745379731614e-22,-1.849445,-1.073015,0.77643,0.57
"609","Sema4a","hurdle",1.63762196336532e-16,-1.4173692,-0.8073549,0.6100143,0.569
"514","Pcsk5","hurdle",1.92732174286418e-25,-2.205202,-1.364713,0.840489,0.569
"133","Casp1","hurdle",5.15689532883339e-18,-0.8166508,-0.2577978,0.558853,0.569
"116","Batf2","hurdle",9.25729661810463e-41,-2.763626,-1.706072,1.057554,0.569
"67","Aldh16a1","hurdle",2.23482138910842e-16,-1.4305766,-0.8271634,0.6034132,0.569
"21","Abcb1a","hurdle",1.64835109540071e-25,-2.203501,-1.384143,0.819358,0.569
"529","Pink1","hurdle",1.46868413736297e-15,-1.4232976,-0.8405218,0.5827758,0.568
"375","Ilvbl","hurdle",5.44005988850583e-17,-1.4101564,-0.7942988,0.6158576,0.568
"343","H2-Q1","hurdle",8.81039651906895e-41,-2.57657,-1.669851,0.906719,0.568
"165","Chdh","hurdle",2.01941463967518e-17,-1.5397542,-0.8848111,0.6549431,0.568
"52","Adh4","hurdle",9.55235028432324e-65,-3.059386,-1.807355,1.252031,0.568
"625","Slc23a2","hurdle",3.36572916328259e-41,-2.818994,-1.762166,1.056828,0.567
"468","Nags","hurdle",1.03197814356539e-19,-1.796762,-1.096862,0.6999,0.567
"342","Gucd1","hurdle",3.16153296792068e-14,-1.0960592,-0.5635751,0.5324841,0.567
"102","Arrdc4","hurdle",1.01634696195788e-20,-1.852997,-1.108934,0.744063,0.567
"34","Acad11","hurdle",5.17258135032096e-25,-2.231544,-1.389042,0.842502,0.567
"247","Ehbp1l1","hurdle",1.25313964773573e-36,-2.690311,-1.730734,0.959577,0.566
"237","Dok4","hurdle",9.53106146229208e-25,-2.280924,-1.438968,0.841956,0.566
"210","Cyp2b10","hurdle",1.41568804437427e-43,-1.839281,-1.239986,0.599295,0.566
"57","Agpat9","hurdle",2.4758634957032e-30,-2.470462,-1.594361,0.876101,0.566
"185","Cnnm4","hurdle",4.30387921971345e-15,-1.574516,-1,0.574516,0.565
"765","Vimp","hurdle",4.22868593321461e-17,-1.3085161,-0.6758253,0.6326908,0.564
"634","Slc28a1","hurdle",9.90156443844396e-37,-2.533186,-1.611435,0.921751,0.564
"566","Pxdc1","hurdle",2.20399430384086e-35,-2.647275,-1.693897,0.953378,0.564
"447","Msmo1","hurdle",2.0996011633248e-19,-1.924066,-1.175087,0.748979,0.564
"380","Itpka","hurdle",1.7734989465293e-18,-1.861915,-1.149923,0.711992,0.564
"352","Hip1r","hurdle",1.76524107799419e-17,-1.828752,-1.170862,0.65789,0.564
"157","Ces1e","hurdle",1.90275024674042e-26,-2.388925,-1.517252,0.871673,0.564
"554","Ppp1r16a","hurdle",2.85453376567808e-16,-1.771755,-1.137504,0.634251,0.563
"353","Hist1h1c","hurdle",1.13313647737047e-15,-1.2491032,-0.5887146,0.6603886,0.563
"351","Hexb","hurdle",8.14708188722971e-16,-1.636293,-1.011286,0.625007,0.563
"249","Ehhadh","hurdle",4.46015660239441e-20,-2.111291,-1.374396,0.736895,0.563
"139","Ccdc71l","hurdle",4.96139407889729e-20,-2.141378,-1.413789,0.727589,0.563
"680","Sphk1","hurdle",3.57945226702558e-48,-3.009977,-1.888275,1.121702,0.562
"676","Smpdl3a","hurdle",7.56320711644228e-14,-1.0863588,-0.5608086,0.5255502,0.562
"601","Sdccag8","hurdle",1.30435660959435e-13,-0.9825339,-0.4697736,0.5127603,0.562
"521","Pfkfb4","hurdle",1.63851955384461e-25,-2.424817,-1.555292,0.869525,0.562
"510","Paqr4","hurdle",2.13565040839398e-16,-1.83313,-1.19211,0.64102,0.562
"415","March8","hurdle",1.97054052609636e-16,-1.748827,-1.108934,0.639893,0.562
"387","Ksr1","hurdle",1.84134665839629e-24,-2.401223,-1.560809,0.840414,0.562
"349","Hectd3","hurdle",1.92790250353054e-19,-2.063701,-1.345541,0.71816,0.562
"275","Fam214b","hurdle",5.50260539757054e-35,-2.766135,-1.794299,0.971836,0.562
"196","Cpped1","hurdle",1.88778919426163e-13,-1.3287739,-0.8008121,0.5279618,0.562
"82","Ank","hurdle",6.46158540111221e-26,-2.450146,-1.58309,0.867056,0.562
"22","Abcc2","hurdle",1.04775086732044e-24,-2.289321,-1.544321,0.745,0.562
"777","Zfp36","hurdle",8.73172960945606e-15,-1.5336848,-0.8952277,0.6384571,0.561
"657","Slc52a2","hurdle",6.37476954633226e-15,-1.630947,-1.026472,0.604475,0.561
"381","Kbtbd11","hurdle",5.42736081767009e-33,-2.730581,-1.755825,0.974756,0.561
"143","Cdc42ep2","hurdle",4.35273876840642e-34,-2.741238,-1.768536,0.972702,0.561
"113","B4galt5","hurdle",1.11252665762195e-17,-1.987551,-1.294094,0.693457,0.561
"660","Slc5a11","hurdle",6.84902855832567e-32,-2.523248,-1.652077,0.871171,0.56
"525","Pgpep1","hurdle",1.82489056538071e-14,-1.710064,-1.12519,0.584874,0.56
"498","Odf3b","hurdle",6.2866146535422e-30,-2.589103,-1.640347,0.948756,0.56
"475","Ndrg1","hurdle",4.39989436823721e-17,-1.858787,-1.213675,0.645112,0.56
"278","Fam3c","hurdle",1.79625948249309e-12,-1.4801795,-0.9666628,0.5135167,0.56
"717","Tmem19","hurdle",2.26113411243269e-15,-1.864601,-1.231163,0.633438,0.559
"464","Naaladl1","hurdle",3.83806688485046e-27,-2.443437,-1.62293,0.820507,0.559
"136","Casz1","hurdle",4.57332163237421e-12,-1.2912468,-0.7749334,0.5163134,0.559
"115","Baiap2l1","hurdle",1.46593454613464e-12,-1.2362905,-0.7307336,0.5055569,0.559
"32","Abhd6","hurdle",3.74304257438634e-20,-2.222901,-1.538866,0.684035,0.559
"584","Rmdn1","hurdle",4.5927158200967e-17,-2.058053,-1.35031,0.707743,0.558
"542","Pllp","hurdle",1.5925207175183e-15,-1.923599,-1.271302,0.652297,0.558
"221","Dab1","hurdle",2.08833052423958e-17,-2.089131,-1.379261,0.70987,0.558
"138","Ccdc32","hurdle",5.26336341937369e-15,-1.897691,-1.294094,0.603597,0.558
"535","Plbd1","hurdle",3.67141618240331e-13,-1.669572,-1.096862,0.57271,0.557
"508","Pank3","hurdle",1.50557245560303e-15,-2.021122,-1.389042,0.63208,0.557
"416","Mcfd2","hurdle",4.46628755013375e-13,-1.2579048,-0.7276277,0.5302771,0.557
"236","Dnm1","hurdle",2.31604286324463e-21,-2.394091,-1.617171,0.77692,0.557
"31","Abhd3","hurdle",1.32548229033337e-22,-2.409699,-1.588715,0.820984,0.557
"588","Rxra","hurdle",4.62014428815723e-14,-1.926403,-1.35031,0.576093,0.556
"537","Pld1","hurdle",1.43093150762946e-16,-2.131099,-1.454288,0.676811,0.556
"515","Pcyt1a","hurdle",6.25954432266561e-19,-2.322174,-1.605721,0.716453,0.556
"313","Gm766","hurdle",2.86262104050602e-49,-3.003055,-1.490683,1.512372,0.556
"289","Frmd8","hurdle",1.34128621702674e-17,-2.117152,-1.423808,0.693344,0.556
"753","Ugt2b5","hurdle",3.10390279049733e-55,-3.139533,-1.923379,1.216154,0.555
"299","Gch1","hurdle",6.42210247878755e-18,-2.083905,-1.511899,0.572006,0.555
"2","1600014C10Rik","hurdle",5.87609188356272e-16,-2.120358,-1.459432,0.660926,0.555
"176","Cldn23","hurdle",4.723331655262e-18,-2.310529,-1.577487,0.733042,0.554
"747","Tysnd1","hurdle",1.1527168432717e-11,-1.534398,-1.022661,0.511737,0.553
"741","Tstd3","hurdle",7.09308052649491e-27,-2.772848,-1.881356,0.891492,0.553
"719","Tmem236","hurdle",6.83603716464395e-16,-2.186036,-1.517252,0.668784,0.553
"560","Prkag2","hurdle",1.24298787381213e-16,-2.203501,-1.511899,0.691602,0.553
"493","Nr1h4","hurdle",2.78947535593242e-17,-2.26605,-1.560809,0.705241,0.552
"469","Naip1","hurdle",3.85395156556434e-18,-2.411662,-1.706072,0.70559,0.552
"328","Gsdmc2","hurdle",5.77704770201705e-33,-2.863974,-1.730734,1.13324,0.552
"259","Epas1","hurdle",6.16195289349701e-26,-2.711111,-1.82053,0.890581,0.552
"252","Emp1","hurdle",2.78236277728905e-34,-2.962205,-2.003752,0.958453,0.552
"239","Dpyd","hurdle",1.2700029770996e-14,-2.145727,-1.511899,0.633828,0.552
"186","Coa7","hurdle",8.09164915511014e-12,-1.3736665,-0.8607942,0.5128723,0.552
"768","Vstm5","hurdle",3.53106814355716e-25,-2.748662,-1.902214,0.846448,0.551
"459","Myo18a","hurdle",2.70206616546473e-15,-2.068854,-1.413789,0.655065,0.551
"420","Me1","hurdle",1.54257720582318e-23,-2.703877,-1.874469,0.829408,0.551
"337","Gstm7","hurdle",5.6165669055264e-16,-2.177105,-1.490683,0.686422,0.551
"283","Fbxo25","hurdle",1.06663749908935e-13,-2.062672,-1.438968,0.623704,0.551
"256","Enthd2","hurdle",1.42699023559177e-20,-2.594296,-1.827163,0.767133,0.551
"241","Dynlt1a","hurdle",1.61246690201111e-17,-2.357054,-1.657977,0.699077,0.551
"681","Sphk2","hurdle",1.25754786185641e-11,-1.4998817,-0.9962576,0.5036241,0.55
"653","Slc44a4","hurdle",2.24791868691588e-12,-2.01216,-1.428843,0.583317,0.55
"645","Slc39a14","hurdle",2.80596412307895e-11,-1.799758,-1.253324,0.546434,0.55
"507","Pafah2","hurdle",4.44057202117049e-16,-2.206337,-1.533432,0.672905,0.55
"505","Ovol2","hurdle",1.43986786342142e-10,-1.708857,-1.183573,0.525284,0.55
"431","Mical2","hurdle",1.76734768660504e-26,-2.828577,-1.974005,0.854572,0.55
"425","Mfsd2a","hurdle",6.469293684452e-31,-2.904862,-2.065153,0.839709,0.55
"319","Gnpda1","hurdle",8.23922999408759e-24,-2.756956,-1.937663,0.819293,0.55
"312","Gm44386","hurdle",2.14605932096891e-21,-2.591326,-1.774933,0.816393,0.55
"761","Uso1","hurdle",1.07200865944884e-11,-1.619559,-1.076962,0.542597,0.549
"743","Ttyh2","hurdle",8.44332843033173e-15,-2.317873,-1.675825,0.642048,0.549
"597","Scoc","hurdle",2.47753860115582e-15,-2.152824,-1.490683,0.662141,0.549
"226","Decr2","hurdle",6.29527141586736e-12,-2.003746,-1.444056,0.55969,0.549
"370","Igsf5","hurdle",2.97479534249911e-10,-1.610512,-1.104899,0.505613,0.548
"222","Dao","hurdle",4.08469048921064e-23,-2.747835,-1.930503,0.817332,0.548
"177","Clec2e","hurdle",7.37581418653402e-24,-2.703075,-1.923379,0.779696,0.548
"23","Abcc3","hurdle",8.0859790259563e-12,-2.033664,-1.459432,0.574232,0.548
"5","2010001E11Rik","hurdle",1.2441073601034e-38,-3.095744,-2.145771,0.949973,0.548
"423","Mertk","hurdle",2.63209747570826e-18,-2.580981,-1.827163,0.753818,0.547
"405","Lrrc26","hurdle",2.97630735922106e-21,-2.342626,-1.807355,0.535271,0.547
"399","Lmbr1l","hurdle",9.30576553206771e-19,-2.441431,-1.699971,0.74146,0.547
"362","Hsd3b3","hurdle",1.34970091051013e-33,-3.018926,-2.011286,1.00764,0.547
"287","Fmo4","hurdle",1.06926933931356e-23,-2.830327,-2.04182,0.788507,0.547
"129","Capg","hurdle",3.8253643323661e-26,-2.851486,-1.988802,0.862684,0.547
"4","1700025G04Rik","hurdle",1.14810605537446e-18,-2.630414,-1.895228,0.735186,0.547
"767","Vstm2l","hurdle",4.70560817218462e-37,-3.113739,-2.179324,0.934415,0.546
"617","Shpk","hurdle",3.49667191988098e-30,-3.013948,-2.145771,0.868177,0.546
"582","Rhbg","hurdle",8.87005514817109e-29,-2.976662,-2.129283,0.847379,0.546
"524","Pgm2","hurdle",9.98060216915443e-12,-2.104396,-1.533432,0.570964,0.546
"489","Nostrin","hurdle",2.95136567880015e-10,-1.945235,-1.423808,0.521427,0.546
"350","Heph","hurdle",5.0069038136119e-11,-2.040229,-1.506566,0.533663,0.546
"220","Cyp51","hurdle",2.98974949489636e-11,-1.938144,-1.345541,0.592603,0.546
"70","Aldh1a7","hurdle",5.07948931227945e-27,-2.909477,-1.959358,0.950119,0.546
"15","9030617O03Rik","hurdle",2.14836758745959e-14,-2.390215,-1.755825,0.63439,0.546
"594","Sc5d","hurdle",3.408010695995e-10,-1.883092,-1.359896,0.523196,0.545
"440","Mocs1","hurdle",2.38027436489652e-10,-2.061131,-1.538866,0.522265,0.545
"301","Gcnt4","hurdle",7.60866151842411e-29,-2.996166,-2.129283,0.866883,0.545
"291","Fuk","hurdle",3.37307145614478e-15,-2.502878,-1.860794,0.642084,0.545
"280","Fas","hurdle",5.29399375327224e-26,-2.905784,-2.034126,0.871658,0.545
"229","Dgka","hurdle",3.63287604886461e-17,-2.603989,-1.923379,0.68061,0.545
"742","Ttc22","hurdle",1.043078085728e-22,-2.839105,-2.065153,0.773952,0.544
"606","Sec24a","hurdle",2.81975822860927e-10,-2.097006,-1.577487,0.519519,0.544
"595","Sccpdh","hurdle",7.07828417982617e-14,-2.39668,-1.736966,0.659714,0.544
"503","Osgin1","hurdle",2.07031280604995e-24,-2.895675,-2.145771,0.749904,0.544
"112","B3gnt7","hurdle",1.58658965322006e-26,-2.957418,-2.129283,0.828135,0.544
"642","Slc35e1","hurdle",4.72134611238861e-09,-1.827878,-1.317252,0.510626,0.543
"496","Oaf","hurdle",1.13760275914282e-10,-1.979279,-1.449163,0.530116,0.543
"320","Golt1a","hurdle",2.79471892787305e-15,-2.599507,-1.944858,0.654649,0.543
"242","E2f2","hurdle",4.36273820218388e-11,-2.1894,-1.617171,0.572229,0.543
"643","Slc35f2","hurdle",1.28874217160235e-09,-2.051917,-1.544321,0.507596,0.542
"619","Slc11a2","hurdle",1.0518373053629e-12,-1.914757,-1.331327,0.58343,0.542
"504","Otop3","hurdle",8.72224323485414e-31,-3.009977,-1.974005,1.035972,0.542
"501","Optn","hurdle",1.83215234631218e-10,-2.147362,-1.605721,0.541641,0.542
"398","Lipe","hurdle",9.80732338015951e-14,-2.504273,-1.888275,0.615998,0.542
"393","Leng9","hurdle",2.58420668335707e-10,-2.128945,-1.571906,0.557039,0.542
"392","Ldlr","hurdle",4.64112239854994e-10,-1.951885,-1.389042,0.562843,0.542
"219","Cyp4f40","hurdle",5.12848000708913e-37,-3.160285,-2.275832,0.884453,0.542
"182","Cndp1","hurdle",1.94376866295699e-26,-3.017929,-2.222392,0.795537,0.542
"110","Atp7b","hurdle",5.52227533517773e-22,-2.888367,-2.096862,0.791505,0.542
"688","Srr","hurdle",4.41488345583255e-18,-2.786367,-2.104899,0.681468,0.541
"685","Spns3","hurdle",3.44921269843503e-22,-2.846167,-2.129283,0.716884,0.541
"564","Ptk6","hurdle",1.02901075495016e-36,-3.168007,-2.266787,0.90122,0.541
"539","Plekhg6","hurdle",4.32641011606087e-18,-2.739593,-2.018859,0.720734,0.541
"466","Nadsyn1","hurdle",4.48380688978136e-09,-2.002266,-1.501252,0.501014,0.541
"407","Lrrc75a","hurdle",1.37937552964892e-13,-2.50218,-1.860794,0.641386,0.541
"187","Cobl","hurdle",2.92237971984812e-09,-1.99244,-1.474972,0.517468,0.541
"124","Btnl1","hurdle",2.95298394506829e-16,-2.661997,-1.966663,0.695334,0.541
"736","Trim40","hurdle",2.22266229091634e-15,-2.605486,-2.018859,0.586627,0.54
"716","Tmem181a","hurdle",2.2913762181522e-13,-2.554715,-1.966663,0.588052,0.54
"517","Pde9a","hurdle",1.08306025523438e-09,-2.036185,-1.511899,0.524286,0.54
"511","Paqr7","hurdle",3.43311753392804e-21,-2.90118,-2.137504,0.763676,0.54
"487","Nol4l","hurdle",5.61451396963791e-10,-2.286316,-1.762166,0.52415,0.54
"323","Gpr160","hurdle",3.86032595210246e-13,-2.542476,-1.923379,0.619097,0.54
"273","Fam20a","hurdle",7.17254703049083e-20,-2.834709,-2.065153,0.769556,0.54
"153","Ceacam18","hurdle",2.91212564006658e-19,-2.720813,-2.08092,0.639893,0.54
"121","Bcl2l15","hurdle",1.6134696540165e-40,-3.209521,-2.39889,0.810631,0.54
"706","Ticam1","hurdle",1.63031357662675e-11,-2.409699,-1.827163,0.582536,0.539
"413","Maob","hurdle",1.72184644301678e-23,-3.003055,-2.20501,0.798045,0.539
"258","Entpd7","hurdle",1.41100117548924e-11,-2.401223,-1.813928,0.587295,0.539
"125","Btnl2","hurdle",1.76552150092557e-10,-2.342002,-1.787815,0.554187,0.539
"99","Arhgap27","hurdle",2.22419178616976e-10,-2.210888,-1.657977,0.552911,0.539
"737","Trim80","hurdle",1.31213435952084e-30,-3.149326,-2.331327,0.817999,0.538
"693","Sulf2","hurdle",8.37549711919132e-17,-2.792322,-2.088869,0.703453,0.538
"339","Gstp2","hurdle",3.25267714659853e-11,-2.502878,-1.937663,0.565215,0.538
"169","Chst4","hurdle",2.71929647881545e-20,-2.890191,-2.170862,0.719329,0.538
"72","Aldh3b1","hurdle",2.06350421646433e-14,-2.690311,-2.073015,0.617296,0.538
"24","Abcd1","hurdle",2.24136683107294e-11,-2.428124,-1.888275,0.539849,0.538
"701","Tbc1d24","hurdle",2.70012675136412e-12,-2.533899,-1.916289,0.61761,0.537
"692","Stom","hurdle",1.19166737290123e-14,-2.664336,-2.057333,0.607003,0.537
"671","Smad6","hurdle",1.41748497803623e-16,-2.831202,-2.145771,0.685431,0.537
"636","Slc2a2","hurdle",3.16177687588613e-17,-2.672158,-2.096862,0.575296,0.537
"404","Lrrc19","hurdle",6.82847894777567e-28,-3.120144,-2.359896,0.760248,0.537
"240","Dst","hurdle",4.5607083422271e-13,-2.648046,-2.065153,0.582893,0.537
"20","Abcb10","hurdle",2.0424303002171e-10,-2.432767,-1.874469,0.558298,0.537
"700","Synpo","hurdle",4.09092783706088e-19,-2.767811,-2.231163,0.536648,0.536
"629","Slc25a37","hurdle",4.05131895781436e-10,-2.357054,-1.807355,0.549699,0.536
"310","Gm17197","hurdle",2.2234017009487e-23,-3.021922,-2.257798,0.764124,0.536
"246","Egln3","hurdle",9.05932270081608e-21,-2.977631,-2.213675,0.763956,0.536
"495","Nudt7","hurdle",2.32037103539073e-09,-2.313585,-1.794299,0.519286,0.535
"451","Mtmr4","hurdle",1.27006178483057e-09,-2.445447,-1.944858,0.500589,0.535
"335","Gstm4","hurdle",2.16655548536221e-09,-2.440095,-1.923379,0.516716,0.535
"309","Gm12999","hurdle",6.07093972368482e-19,-2.995184,-2.35031,0.644874,0.535
"235","Dnaaf1","hurdle",6.13632243207134e-22,-3.036993,-2.35031,0.686683,0.535
"154","Ceacam20","hurdle",2.47512785087414e-14,-2.538181,-2.034126,0.504055,0.535
"738","Trp53inp2","hurdle",3.99714944405391e-13,-2.663556,-2.145771,0.517785,0.534
"658","Slc52a3","hurdle",8.28719654671676e-12,-2.678446,-2.08092,0.597526,0.534
"651","Slc41a2","hurdle",6.671765121345e-20,-3.031952,-2.359896,0.672056,0.534
"484","Nek3","hurdle",1.0779725041403e-16,-2.890191,-2.196397,0.693794,0.534
"156","Celf5","hurdle",2.78588571577992e-32,-3.215224,-2.490683,0.724541,0.534
"100","Arhgef2","hurdle",3.73987585505303e-10,-2.580245,-2.065153,0.515092,0.534
"81","Angptl8","hurdle",1.0140913204898e-13,-2.800015,-2.196397,0.603618,0.534
"77","Alppl2","hurdle",2.70391484951082e-44,-3.281881,-2.469774,0.812107,0.534
"769","Vwce","hurdle",3.14667944306799e-17,-2.974726,-2.31259,0.662136,0.533
"615","Sh3d21","hurdle",3.83333860180116e-14,-2.870259,-2.266787,0.603472,0.533
"555","Ppp2r5b","hurdle",4.25392228827003e-13,-2.794028,-2.231163,0.562865,0.533
"449","mt-Nd3","hurdle",1.85765499095199e-09,-2.541759,-2.018859,0.5229,0.533
"432","Micall2","hurdle",1.36363297175932e-11,-2.621299,-2.034126,0.587173,0.533
"775","Zc3h12d","hurdle",1.2844748926975e-12,-2.828577,-2.248865,0.579712,0.532
"686","Spsb2","hurdle",3.33483323977718e-08,-2.350136,-1.840522,0.509614,0.532
"639","Slc30a1","hurdle",1.98353196058594e-11,-2.752803,-2.187835,0.564968,0.532
"465","Nab2","hurdle",1.20838307997294e-09,-2.62509,-2.104899,0.520191,0.532
"314","Gmfg","hurdle",3.11536854206393e-13,-2.819862,-2.187835,0.632027,0.532
"78","Als2cr12","hurdle",6.42813969105457e-25,-3.169113,-2.469774,0.699339,0.532
"63","Akr1b8","hurdle",4.84223159041195e-16,-2.927152,-2.196397,0.730755,0.532
"752","Ugt2b36","hurdle",3.82151547029003e-19,-3.070714,-2.41879,0.651924,0.531
"711","Tmc8","hurdle",1.15917526291282e-13,-2.896591,-2.294094,0.602497,0.531
"684","Spns2","hurdle",1.4747581635039e-16,-3.007996,-2.35031,0.657686,0.531
"762","Vamp5","hurdle",7.32631293611065e-11,-2.728948,-2.196397,0.532551,0.53
"699","Syce3","hurdle",5.396095926112e-16,-3.019924,-2.408806,0.611118,0.53
"654","Slc4a5","hurdle",1.16206724289486e-09,-2.715146,-2.170862,0.544284,0.53
"359","Hpse","hurdle",9.24612010155504e-10,-2.721625,-2.187835,0.53379,0.53
"357","Hpdl","hurdle",4.89039093912538e-11,-2.80173,-2.284934,0.516796,0.53
"42","Acot9","hurdle",1.04853165396448e-16,-3.022922,-2.369546,0.653376,0.53
"677","Snph","hurdle",7.57796738324006e-13,-2.918752,-2.340787,0.577965,0.529
"551","Ppara","hurdle",7.63938180024225e-15,-2.985406,-2.379261,0.606145,0.529
"497","Ocm","hurdle",4.04721371239523e-27,-3.209521,-2.555292,0.654229,0.529
"308","Gm10639","hurdle",1.34121493601349e-32,-3.262857,-2.544321,0.718536,0.529
"293","G630090E17Rik","hurdle",2.51467210437938e-16,-3.046112,-2.48019,0.565922,0.529
"184","Cnksr3","hurdle",1.25318072727647e-11,-2.850598,-2.284934,0.565664,0.529
"60","Aim1l","hurdle",4.94385820074914e-09,-2.6919,-2.187835,0.504065,0.529
"771","Xkr9","hurdle",2.45696250617491e-18,-3.125504,-2.490683,0.634821,0.528
"439","Mocos","hurdle",9.31059282686947e-15,-3.025925,-2.459432,0.566493,0.528
"378","Itgb5","hurdle",4.75692835007481e-10,-2.808611,-2.266787,0.541824,0.528
"109","Atp6v0e2","hurdle",6.78578528459286e-09,-2.740415,-2.239986,0.500429,0.528
"11","2200002J24Rik","hurdle",1.771082104692e-11,-2.855043,-2.275832,0.579211,0.528
"616","Sh3tc1","hurdle",2.24285499622058e-29,-3.260497,-2.555292,0.705205,0.527
"527","Phlda2","hurdle",2.52773641137585e-16,-3.075893,-2.511899,0.563994,0.527
"388","Lactb","hurdle",4.64038644711928e-09,-2.62509,-2.104899,0.520191,0.527
"536","Plcd1","hurdle",1.43077662635143e-13,-3.061439,-2.533432,0.528007,0.526
"327","Gramd2","hurdle",1.6134791149786e-16,-3.112674,-2.566347,0.546327,0.526
"650","Slc40a1","hurdle",1.51308055360994e-17,-3.149326,-2.501252,0.648074,0.525
"556","Pqlc3","hurdle",2.05534464395015e-11,-2.990287,-2.438968,0.551319,0.525
"552","Ppargc1a","hurdle",7.46374372747951e-11,-2.86846,-2.321928,0.546532,0.525
"369","Igsf3","hurdle",1.20431150606808e-08,-2.700674,-2.196397,0.504277,0.525
"340","Guca1a","hurdle",2.14977902258068e-09,-2.73795,-2.222392,0.515558,0.525
"624","Slc22a4","hurdle",1.55586023222868e-11,-3.023922,-2.501252,0.52267,0.524
"638","Slc2a9","hurdle",4.82069144370096e-10,-2.914107,-2.379261,0.534846,0.522
"472","Nbl1","hurdle",1.06317491904463e-16,-3.200443,-2.657977,0.542466,0.522
"97","Aqp8","hurdle",1.31060452801924e-07,-2.915964,-2.284934,0.63103,0.517
