"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Tuft","log2fold_change","Auc"
"617","Myo6","hurdle",1.51101939489587e-33,-0.5485926,0.5407225,1.0893151,0.633
"292","Dram2","hurdle",2.37094834073187e-19,-0.96673151,-0.02864314,0.93808837,0.633
"110","Atp6v1g1","hurdle",7.62143314482598e-15,0.825198,1.385608,0.56041,0.633
"884","Slco4a1","hurdle",1.53387980779326e-54,-2.955963,-1.032421,1.923542,0.632
"196","Cdkn1c","hurdle",2.72608248722435e-52,-2.72213657,0.00246404,2.72460061,0.632
"1030","Tspan13","hurdle",1.35407748147649e-21,-0.1121567,0.8279927,0.9401494,0.631
"384","Glmp","hurdle",5.74797873457528e-21,-0.727777,0.2558235,0.9836005,0.631
"371","Gclm","hurdle",7.30132028345543e-21,-0.1626329,0.7235866,0.8862195,0.631
"758","R3hdm4","hurdle",1.99971143293665e-13,-0.5556667,0.1597506,0.7154173,0.63
"431","H2-T23","hurdle",1.08917223659032e-15,-0.5497979,0.3361613,0.8859592,0.63
"117","B2m","hurdle",3.01325797265515e-11,3.905847,4.476537,0.57069,0.63
"108","Atp6v1e1","hurdle",1.09187268645597e-22,-0.2873378,0.5700892,0.857427,0.63
"903","Sod2","hurdle",3.70595834233774e-12,0.6779984,1.2313484,0.55335,0.629
"893","Smpdl3a","hurdle",5.57805555040093e-33,-1.0858163,0.1924909,1.2783072,0.629
"675","Pde2a","hurdle",4.8574902091086e-68,-3.202293,-1.206451,1.995842,0.629
"498","Isg15","hurdle",1.07323877092437e-25,-0.1787925,1.3832464,1.5620389,0.629
"409","Gpa33","hurdle",1.75588256474337e-19,0.4275449,1.1558821,0.7283372,0.629
"20","4930539E08Rik","hurdle",2.50082191268699e-45,-2.7479906,-0.7369656,2.011025,0.629
"1080","Yipf1","hurdle",3.29952055554396e-23,-0.6487185,0.2609778,0.9096963,0.628
"984","Tmem160","hurdle",2.77514692831796e-12,0.5121588,1.0733222,0.5611634,0.628
"905","Sox9","hurdle",8.82265742594904e-12,0.2227622,0.8589161,0.6361539,0.628
"808","Rpp21","hurdle",9.68429276956956e-13,0.447961,1.037728,0.589767,0.628
"733","Pqlc1","hurdle",5.701658454818e-22,-2.0818255,-0.8885121,1.1933134,0.628
"348","Fcna","hurdle",1.78730924296614e-90,-3.296269,-0.911522,2.384747,0.628
"323","F11r","hurdle",1.31897942280548e-20,-0.6825033,0.3065564,0.9890597,0.628
"171","Capzb","hurdle",1.84605910600939e-13,1.096103,1.638222,0.542119,0.628
"682","Pfkfb3","hurdle",2.58732120993904e-61,-3.136657,-1.019865,2.116792,0.627
"552","Lpcat4","hurdle",4.41558201998486e-41,-2.7013226,-0.8999712,1.8013514,0.627
"952","Sys1","hurdle",3.45225798480208e-12,0.3286903,0.9318285,0.6031382,0.626
"403","Gng12","hurdle",9.59456928621996e-13,0.2806754,0.9795095,0.6988341,0.626
"276","Degs2","hurdle",3.00778082719208e-19,0.6746111,1.3229142,0.6483031,0.626
"1005","Tmem9b","hurdle",2.08415333561277e-20,-1.09332908,-0.01611967,1.07720941,0.625
"651","Oas1a","hurdle",1.46521792254559e-28,-1.12968758,0.02687571,1.15656329,0.625
"602","Mpv17l2","hurdle",8.75812581938907e-15,-0.5199627,0.2864768,0.8064395,0.625
"311","Eno1","hurdle",5.51280179320386e-19,0.3011627,1.1194555,0.8182928,0.625
"219","Clec4a1","hurdle",3.75119043250558e-90,-3.2836088,-0.3436699,2.9399389,0.625
"42","Adcy5","hurdle",2.28403572000495e-89,-3.300901,-1.325014,1.975887,0.625
"970","Tm2d1","hurdle",1.08516881685989e-14,-0.9906166,-0.1397248,0.8508918,0.624
"308","Elovl1","hurdle",2.42130518069967e-13,-0.798468469,-0.003703969,0.7947645,0.624
"1062","Usp18","hurdle",1.53235112668467e-49,-2.6354961,-0.4241085,2.2113876,0.623
"996","Tmem57","hurdle",9.61477994342687e-37,-1.7710997,-0.3050722,1.4660275,0.622
"994","Tmem51","hurdle",1.31693937702325e-15,-0.974341,-0.092945,0.881396,0.622
"611","Mvp","hurdle",5.90752696932229e-14,-0.6537083,0.2139122,0.8676205,0.622
"605","Msi2","hurdle",1.26333138073114e-21,-1.803183,-0.637704,1.165479,0.622
"536","Lap3","hurdle",4.54084417744848e-11,-0.1994526,0.4306741,0.6301267,0.622
"517","Kdm4a","hurdle",1.23107995334744e-23,-2.2351576,-0.9467401,1.2884175,0.622
"484","Il10rb","hurdle",6.90471561930978e-33,-1.5572242,-0.2749207,1.2823035,0.622
"468","Hsbp1l1","hurdle",9.00172103433135e-51,-3.068931,-1.206451,1.86248,0.622
"452","Hmgn3","hurdle",3.75725618446561e-56,-2.8537509,-0.3995025,2.4542484,0.622
"267","Dcp1b","hurdle",1.6118847279738e-36,-2.514909,-0.911522,1.603387,0.622
"120","B4galt4","hurdle",3.14859165308715e-31,-2.3534539,-0.8435647,1.5098892,0.622
"990","Tmem246","hurdle",1.77999429990043e-23,-1.3011905,-0.2021889,1.0990016,0.621
"318","Erp29","hurdle",2.2638268068931e-10,0.7019235,1.2128486,0.5109251,0.621
"222","Clrn3","hurdle",6.3027498950234e-15,-1.2659557,-0.3436699,0.9222858,0.621
"179","Ccdc12","hurdle",1.02382307116339e-10,0.748195,1.267651,0.519456,0.621
"670","Pam16","hurdle",5.77254834304596e-11,0.08421968,0.63504989,0.55083021,0.62
"594","Misp","hurdle",4.30635101138893e-11,0.2462667,0.8623115,0.6160448,0.62
"193","Cdipt","hurdle",3.87733403830471e-19,-1.02109969,-0.07985331,0.94124638,0.62
"29","Abcc3","hurdle",2.24977783781132e-20,-2.0256444,-0.8216054,1.204039,0.62
"824","Saraf","hurdle",4.14745129826057e-13,-0.70573007,0.06862672,0.77435679,0.619
"665","P2rx4","hurdle",5.49693524927028e-23,-2.076356,-0.7165594,1.3597966,0.619
"244","Cript","hurdle",6.28035732223998e-15,-0.1726783,0.5236692,0.6963475,0.619
"1082","Ypel3","hurdle",1.98252100436822e-15,-0.99976467,-0.05402101,0.94574366,0.618
"564","Lyn","hurdle",2.97087002343376e-35,-2.2727636,-0.7681265,1.5046371,0.618
"213","Cirbp","hurdle",7.51063864132982e-12,-0.1094882,0.5449545,0.6544427,0.618
"77","Arf6","hurdle",1.12312531548981e-12,0.2219553,0.8521013,0.630146,0.618
"951","Syngr2","hurdle",1.34590820993059e-10,0.631053,1.18329,0.552237,0.617
"647","Nsfl1c","hurdle",8.15614307943261e-23,-0.6402569,0.3214348,0.9616917,0.617
"626","Ndufaf3","hurdle",4.29958877500471e-12,-0.9227905,-0.1602471,0.7625434,0.617
"169","Capg","hurdle",9.97590898389634e-47,-2.8605722,-0.8435647,2.0170075,0.617
"5","1700037H04Rik","hurdle",9.08718602728066e-15,-1.2821771,-0.3515149,0.9306622,0.617
"861","Slc16a3","hurdle",7.64730585969557e-51,-2.9261406,-0.8435647,2.0825759,0.616
"250","Ctsa","hurdle",4.13028505099127e-24,-0.892547,0.1205901,1.0131371,0.616
"1063","Vamp2","hurdle",1.94581018149663e-21,-1.9692636,-0.7786649,1.1905987,0.615
"957","Tapbp","hurdle",4.40627748839812e-11,-0.1405427,0.5150663,0.655609,0.615
"554","Lrp10","hurdle",1.54010161716708e-11,-0.79703651,-0.05402101,0.7430155,0.615
"394","Gm4952","hurdle",1.61886425401659e-83,-3.300901,-0.747278,2.553623,0.615
"727","Ppp1r11","hurdle",2.30403729450509e-11,0.07274091,0.6857581,0.61301719,0.614
"301","Efhd2","hurdle",1.27913777821136e-11,-0.2198646,0.4306741,0.6505387,0.614
"801","Rnasel","hurdle",6.80911482401717e-14,-1.6245693,-0.7369656,0.8876037,0.613
"648","Nt5c3","hurdle",3.41610036025363e-18,-1.0933291,-0.1465332,0.9467959,0.613
"570","Man2a1","hurdle",8.21104847775218e-18,-1.307002,-0.3281067,0.9788953,0.613
"532","L1cam","hurdle",1.54215396804556e-20,-2.227973,-1.070759,1.157214,0.613
"871","Slc2a1","hurdle",1.50385714221928e-47,-2.6202217,-0.8658633,1.7543584,0.612
"572","Map1lc3a","hurdle",2.22769614522363e-14,-1.5586101,-0.5629362,0.9956739,0.612
"253","Cwh43","hurdle",4.87834912486227e-70,-3.259743,-1.123515,2.136228,0.612
"207","Chmp4b","hurdle",2.33817113760716e-10,1.008448,1.514203,0.505755,0.612
"1056","Ufm1","hurdle",2.51897272168233e-20,-0.6331216,0.3263603,0.9594819,0.61
"813","Rtn4","hurdle",2.77330074733653e-11,-0.9292745,-0.1533738,0.7759007,0.61
"451","Hmgcs1","hurdle",5.83331560563321e-32,-1.3038028,0.1318877,1.4356905,0.61
"306","Eif4a2","hurdle",5.28817045639258e-11,0.04095248,0.67807191,0.63711943,0.61
"189","Cdc42","hurdle",1.80465404632765e-10,1.00335,1.518514,0.515164,0.61
"107","Atp6v1d","hurdle",1.96946483574229e-20,-1.524018,-0.483209,1.040809,0.61
"32","Abhd2","hurdle",1.25510569444725e-23,-2.44404,-1.045088,1.398952,0.61
"582","Mea1","hurdle",8.88519196733005e-09,-0.09596781,0.43067413,0.52664194,0.609
"112","Atp9a","hurdle",5.0175340786151e-11,-0.82615782,-0.09953567,0.72662215,0.609
"778","Rassf7","hurdle",3.65419079838983e-11,-1.1413212,-0.3833286,0.7579926,0.608
"527","Krcc1","hurdle",2.5468731558252e-10,0.65912,1.18329,0.52417,0.608
"442","Hint3","hurdle",2.24499189900387e-12,-1.3813858,-0.5092982,0.8720876,0.608
"435","Hcfc1r1","hurdle",8.08934752062723e-12,0.01078568,0.61506211,0.60427643,0.608
"366","Gadd45g","hurdle",4.45284202098815e-18,-1.8580104,-0.7165594,1.141451,0.608
"350","Fdft1","hurdle",4.06265954841014e-16,-1.5267279,-0.4491414,1.0775865,0.608
"212","Cideb","hurdle",2.41368908079681e-12,-1.0425125,-0.2527136,0.7897989,0.608
"139","Bmp2","hurdle",5.35031165251061e-49,-3.104925,-1.235191,1.869734,0.608
"1054","Ubtd1","hurdle",7.24986558993249e-34,-2.866567,-1.340544,1.526023,0.607
"772","Rabgap1l","hurdle",1.53586792581315e-16,-1.718259,-0.666772,1.051487,0.607
"344","Fbxl21","hurdle",8.26442120141756e-51,-3.183997,-1.388162,1.795835,0.607
"149","Btbd16","hurdle",2.05082834762704e-87,-3.320752,-0.590522,2.73023,0.607
"124","Bak1","hurdle",1.7475268282258e-11,-0.5631234,0.1375035,0.7006269,0.607
"523","Klf4","hurdle",1.17823505983994e-16,-1.877335,-0.666772,1.210563,0.606
"470","Hspb11","hurdle",1.95005584829491e-15,-1.7499683,-0.7165594,1.0334089,0.606
"329","Fam188a","hurdle",1.18667540961525e-27,-2.34088,-0.9467401,1.3941399,0.606
"542","Leprot","hurdle",7.68420086058697e-12,-0.76809056,-0.04127628,0.72681428,0.605
"541","Lect2","hurdle",2.06198340339842e-34,-2.6015318,-0.5448344,2.0566974,0.605
"508","Jarid2","hurdle",3.45737497106266e-15,-1.9265879,-0.8885121,1.0380758,0.605
"705","Plek","hurdle",2.77234956858563e-72,-3.297426,-1.178272,2.119154,0.604
"688","Pigc","hurdle",5.76123250112217e-17,-1.9360129,-0.8435647,1.0924482,0.604
"347","Fbxo9","hurdle",5.49229647976356e-15,-1.4335126,-0.5005493,0.9329633,0.604
"158","Cacna2d2","hurdle",7.56537181248591e-67,-3.285902,-1.40439,1.881512,0.604
"50","Ahsa2","hurdle",5.44569670722722e-16,-1.8380992,-0.7999754,1.0381238,0.604
"1084","Zbp1","hurdle",9.14178908702467e-20,-1.8842694,-0.4918531,1.3924163,0.603
"514","Kctd13","hurdle",1.82624481252435e-22,-2.516255,-1.206451,1.309804,0.603
"509","Kalrn","hurdle",7.3726184632202e-54,-2.9495849,-0.7999754,2.1496095,0.603
"375","Gdpd1","hurdle",7.55158998589785e-12,-0.65983042,0.05682064,0.71665106,0.603
"258","Cyp51","hurdle",1.75255379813511e-15,-1.9247996,-0.8107499,1.1140497,0.603
"1003","Tmem9","hurdle",1.11473439208261e-12,-1.684582,-0.747278,0.937304,0.602
"964","Tcta","hurdle",8.05728386611673e-20,-2.261999,-1.045088,1.216911,0.602
"851","Shisa5","hurdle",1.87225304477493e-08,0.05585919,0.60293515,0.54707596,0.602
"752","Ptprc","hurdle",3.02310225934337e-67,-3.284755,-1.220749,2.064006,0.602
"309","Emc2","hurdle",1.16067318877134e-22,-1.118147,-0.1262036,0.9919434,0.602
"131","BC031181","hurdle",7.2923566968056e-11,0.4865191,1.0407276,0.5542085,0.602
"1073","Wbp2","hurdle",3.49476075148139e-13,-1.0664643,-0.2600781,0.8063862,0.601
"1072","Wbp1","hurdle",8.24097214153892e-09,-0.3751148,0.2192182,0.594333,0.601
"1042","Tuba4a","hurdle",9.51205227960751e-11,-0.83851996,-0.09953567,0.73898429,0.601
"837","Sema4a","hurdle",1.5242270516468e-11,-1.393083,-0.535868,0.857215,0.601
"795","Rilpl2","hurdle",4.21511243562463e-11,-0.68647479,0.06273576,0.74921055,0.601
"695","Pitpna","hurdle",1.34967383669668e-08,0.4129473,0.9318285,0.5188812,0.601
"440","Heph","hurdle",1.92323493335824e-21,-2.0391231,-0.7576646,1.2814585,0.601
"674","Pdcd10","hurdle",1.67415367037162e-12,-0.70093992,0.03291462,0.73385454,0.6
"460","Hotairm1","hurdle",1.19970706013912e-56,-3.244049,-1.325014,1.919035,0.6
"173","Car7","hurdle",1.5183412156401e-68,-3.293959,-0.8325433,2.4614157,0.6
"684","Pfkp","hurdle",3.19091656228042e-11,-1.424324,-0.535868,0.888456,0.599
"522","Kit","hurdle",2.1071298964545e-27,-2.863138,-1.437405,1.425733,0.599
"448","Hk1","hurdle",1.16177307227286e-49,-3.221922,-1.559298,1.662624,0.599
"118","B3gat3","hurdle",7.38870935025394e-14,-1.6238438,-0.6964378,0.927406,0.599
"919","Sra1","hurdle",1.07995127908867e-08,0.2165979,0.7310347,0.5144368,0.598
"653","Oas2","hurdle",1.07715401006369e-30,-2.941426,-1.388162,1.553264,0.598
"291","Dpysl2","hurdle",1.23991968177695e-44,-3.179725,-1.523408,1.656317,0.598
"163","Camk2d","hurdle",4.25052214729195e-10,-1.0261236,-0.2899177,0.7362059,0.598
"147","Bst2","hurdle",2.99145872307395e-10,0.9899628,1.675372,0.6854092,0.598
"106","Atp6v0d1","hurdle",6.50203713493316e-16,-1.5223269,-0.5538569,0.96847,0.598
"49","Ahnak2","hurdle",1.35357903473243e-68,-3.305547,-1.614864,1.690683,0.598
"428","H2-Ke6","hurdle",1.04427261769198e-09,-0.641174224,0.008605791,0.649780015,0.597
"421","Gstt1","hurdle",4.27559771176428e-09,-0.9407486,-0.2380965,0.7026521,0.597
"360","Fut2","hurdle",3.13219274788887e-60,-3.280175,-1.454201,1.825974,0.597
"290","Dpm2","hurdle",1.06690030878366e-08,-0.624569317,0.008605791,0.633175108,0.597
"166","Camkk2","hurdle",1.19632311540382e-19,-2.496863,-1.235191,1.261672,0.597
"661","Os9","hurdle",1.07491015771983e-11,-0.9216755,-0.1880723,0.7336032,0.596
"303","Egln2","hurdle",5.19014096900649e-08,-0.53642362,0.04491715,0.58134077,0.596
"62","Alkbh7","hurdle",3.4380350544773e-12,-1.1171256,-0.3515149,0.7656107,0.596
"48","Agt","hurdle",1.20902826409346e-43,-3.126344,-1.192293,1.934051,0.596
"1061","Ush1c","hurdle",1.47407763480758e-10,-0.7132346,-0.03494588,0.67828872,0.595
"1051","Ube2r2","hurdle",8.0209960789317e-09,-0.07090719,0.47570572,0.54661291,0.595
"953","Taf12","hurdle",2.15156458605115e-08,-1.1036602,-0.4746164,0.6290438,0.595
"929","St3gal6","hurdle",9.19542637282609e-09,-0.9502669,-0.2600781,0.6901888,0.595
"399","Gmfg","hurdle",2.53610657245374e-25,-2.8168,-1.388162,1.428638,0.595
"723","Pold4","hurdle",2.04961245695915e-13,-1.269072,-0.4158598,0.8532122,0.594
"1045","Tusc3","hurdle",7.95723885281732e-15,-1.4803522,-0.5448344,0.9355178,0.593
"1032","Tspan17","hurdle",3.64439634392854e-19,-2.44212,-1.206451,1.235669,0.593
"906","Sp100","hurdle",9.66914305516343e-14,-2.0118158,-0.9828394,1.0289764,0.593
"879","Slc4a2","hurdle",3.04313651780031e-15,-1.6494566,-0.6964378,0.9530188,0.593
"726","Pparg","hurdle",1.7294408418748e-30,-2.951404,-1.471194,1.48021,0.593
"529","Krt222","hurdle",6.4743968241745e-57,-3.280175,-1.471194,1.808981,0.593
"400","Gmpr","hurdle",5.42497881075008e-48,-3.213165,-1.30965,1.903515,0.593
"337","Fam57a","hurdle",1.26830434448457e-16,-2.414881,-1.264515,1.150366,0.593
"168","Cap1","hurdle",3.91122351055811e-15,-2.304965,-1.249778,1.055187,0.593
"1050","Ube2l6","hurdle",8.86125017214075e-18,-1.877768,-0.666772,1.210996,0.592
"260","Cyth2","hurdle",1.71112005644922e-09,-1.1509575,-0.4491414,0.7018161,0.592
"242","Crb3","hurdle",4.64971797717479e-09,0.01789285,0.5659304,0.54803755,0.592
"1031","Tspan15","hurdle",3.3881362407486e-09,-0.2364047,0.3263603,0.562765,0.591
"943","Sucnr1","hurdle",2.21400851303148e-65,-3.3009006,-0.9586731,2.3422275,0.591
"856","Sin3b","hurdle",2.55375334926937e-07,-0.6851497,-0.1061566,0.5789931,0.591
"677","Pde6d","hurdle",5.01768630774127e-13,-1.454967,-0.572073,0.882894,0.591
"571","Map1a","hurdle",1.23202687546638e-62,-3.303222,-1.614864,1.688358,0.591
"270","Dda1","hurdle",5.44215237048689e-10,-0.9277067,-0.2453865,0.6823202,0.591
"252","Cutal","hurdle",3.15492431387139e-44,-3.209895,-1.505792,1.704103,0.591
"181","Ccdc129","hurdle",9.33925280856522e-64,-3.304384,-1.614864,1.68952,0.591
"137","Bloc1s1","hurdle",6.50413732840743e-08,-0.7192277,-0.1329484,0.5862793,0.591
"24","A4galt","hurdle",1.6509609716697e-63,-3.303222,-1.437405,1.865817,0.591
"904","Sort1","hurdle",1.86609112663844e-08,-0.7634887,-0.112808,0.6506807,0.59
"751","Ptpra","hurdle",2.51985321994119e-11,-1.7468053,-0.8325433,0.914262,0.59
"577","Mapre2","hurdle",1.07029893398949e-17,-1.9013118,-0.8325433,1.0687685,0.59
"471","Htatip2","hurdle",9.06816346313915e-11,-1.1952699,-0.3753092,0.8199607,0.59
"336","Fam49b","hurdle",3.28960954967493e-07,-0.8387304,-0.2674803,0.5712501,0.59
"185","Ccser2","hurdle",2.20774854401732e-10,-1.5922769,-0.7369656,0.8553113,0.59
"170","Capn1","hurdle",4.96167949645694e-08,-0.9539095,-0.2974751,0.6564344,0.59
"138","Bloc1s2","hurdle",3.93079164598241e-08,-0.2190426,0.3312691,0.5503117,0.59
"886","Slmo2","hurdle",5.67092913526317e-09,0.07966139,0.67034454,0.59068315,0.589
"867","Slc25a24","hurdle",1.94936300677834e-14,-2.353454,-1.294447,1.059007,0.589
"707","Plekhb2","hurdle",2.54105781116432e-12,-0.74246757,0.01472151,0.75718908,0.589
"672","Pbxip1","hurdle",1.75815422486971e-10,-1.684204,-0.9828394,0.7013646,0.589
"603","Mrpl46","hurdle",5.39447642881723e-08,-0.2700649,0.291523,0.5615879,0.589
"472","Hyal2","hurdle",2.9956237617933e-10,-1.304384,-0.5448344,0.7595496,0.589
"16","4632411P08Rik","hurdle",1.47811729287119e-39,-3.154359,-1.488389,1.66597,0.589
"942","Stxbp3","hurdle",8.04749380186068e-14,-1.9532258,-0.9828394,0.9703864,0.588
"842","Serpini1","hurdle",8.89854706712309e-50,-3.261999,-1.523408,1.738591,0.588
"709","Plekho2","hurdle",2.9832608847611e-53,-3.280175,-1.614864,1.665311,0.588
"434","Hap1","hurdle",1.50977978204868e-33,-2.976192,-1.388162,1.58803,0.588
"385","Glyctk","hurdle",7.91454741552041e-29,-2.982688,-1.523408,1.45928,0.588
"282","Dmxl2","hurdle",1.84050679382759e-51,-3.273332,-1.672657,1.600675,0.588
"154","C2cd4b","hurdle",2.94132948789819e-31,-3.043482,-1.420803,1.622679,0.588
"719","Pnrc1","hurdle",1.5617423494549e-09,-0.68439311,-0.04127628,0.64311683,0.587
"628","Neat1","hurdle",1.04016963513765e-07,-0.6921674,-0.04127628,0.65089112,0.587
"473","Id2","hurdle",5.34893214082836e-11,-0.92793058,0.02081141,0.94874199,0.587
"387","Gm11496","hurdle",1.51260705076101e-55,-3.2882,-1.40439,1.88381,0.587
"240","Cpvl","hurdle",5.57809687249942e-44,-3.23405,-1.614864,1.619186,0.587
"1026","Tsc22d1","hurdle",1.10075614198944e-07,-0.2687884,0.3065564,0.5753448,0.586
"974","Tmbim4","hurdle",3.36700549076388e-09,-0.1802585,0.4533656,0.6336241,0.586
"959","Tbc1d1","hurdle",2.02110671192799e-10,-1.6868536,-0.8325433,0.8543103,0.586
"815","Rtp4","hurdle",1.90974414099214e-09,-0.6300224,0.1762136,0.806236,0.586
"580","Marveld3","hurdle",7.2754375394897e-15,-1.3682633,-0.5269569,0.8413064,0.586
"466","Hrsp12","hurdle",6.10603213205099e-07,-0.8236564,-0.2380965,0.5855599,0.586
"254","Cyb561","hurdle",2.227309602657e-09,-0.7555201,-0.1061566,0.6493635,0.586
"215","Ckap4","hurdle",4.26509663314328e-30,-3.024208,-1.454201,1.570007,0.586
"201","Cfb","hurdle",3.1207273844998e-18,-1.555148,-0.637704,0.917444,0.586
"1010","Tppp3","hurdle",1.12648118474255e-33,-2.9845499,-0.9707057,2.0138442,0.585
"920","Srebf2","hurdle",4.84890817572729e-08,-1.4705357,-0.7892808,0.6812549,0.585
"718","Pnpla6","hurdle",4.07635294640757e-25,-2.2535575,-0.8107499,1.4428076,0.585
"696","Pklr","hurdle",7.2229727108697e-09,-1.553075,-0.747278,0.805797,0.585
"228","Col15a1","hurdle",2.06938863249269e-58,-3.303222,-1.559298,1.743924,0.585
"199","Ceacam2","hurdle",2.44697365423648e-44,-3.242935,-1.596103,1.646832,0.585
"999","Tmem65","hurdle",3.06404768365515e-15,-2.360084,-1.249778,1.110306,0.584
"780","Rbpms","hurdle",9.76516081293728e-49,-3.268788,-1.471194,1.797594,0.584
"768","Rab3ip","hurdle",2.51648975571899e-06,-0.6633671,-0.1262036,0.5371635,0.584
"548","Lman2l","hurdle",4.93358699119012e-12,-2.200669,-1.249778,0.950891,0.584
"520","Kif5b","hurdle",3.7865692631159e-07,0.4056815,0.9155781,0.5098966,0.584
"501","Itgb4","hurdle",8.27862864174318e-09,-1.7147788,-0.9586731,0.7561057,0.584
"437","Hdac1","hurdle",2.54443988751885e-07,-0.9545935,-0.3436699,0.6109236,0.584
"209","Chmp6","hurdle",2.62586389056307e-07,-0.54773222,0.03892837,0.58666059,0.584
"1078","Xaf1","hurdle",1.44416697872349e-09,-1.3278239,-0.4746164,0.8532075,0.583
"1015","Trappc2l","hurdle",1.29507159852162e-06,-0.1375624,0.3651709,0.5027333,0.583
"1012","Tradd","hurdle",5.26025538873481e-08,-0.9150035,-0.2749207,0.6400828,0.583
"935","Stk38","hurdle",1.49781259689515e-08,-1.240709,-0.535868,0.704841,0.583
"912","Spint1","hurdle",1.63739203867067e-06,-0.45884336,0.05682064,0.515664,0.583
"800","Rmdn1","hurdle",9.25419868143293e-17,-2.032368,-0.9586731,1.0736949,0.583
"717","Pnpla3","hurdle",2.66970372718098e-54,-3.292805,-1.672657,1.620148,0.583
"608","Mthfsl","hurdle",9.18588717457314e-15,-1.238208,-0.3995025,0.8387055,0.583
"606","Msmo1","hurdle",3.0586811172644e-16,-1.9017515,-0.6473284,1.2544231,0.583
"592","Mid1ip1","hurdle",1.05140768170199e-07,-1.307002,-0.581268,0.725734,0.583
"463","Hoxaas3","hurdle",1.9193357667624e-29,-3.05029,-1.541241,1.509049,0.583
"245","Crot","hurdle",6.3223285806391e-10,-1.6879906,-0.8546709,0.8333197,0.583
"1088","Zfand3","hurdle",3.03986467905999e-09,-1.6223939,-0.8546709,0.767723,0.582
"1077","Wwp2","hurdle",1.03576113132983e-09,-1.896923,-1.057866,0.839057,0.582
"878","Slc44a4","hurdle",3.00110772643192e-19,-2.0004708,-0.8658633,1.1346075,0.582
"829","Sdcbp","hurdle",1.16256777147645e-09,0.1858924,0.7640833,0.5781909,0.582
"799","Rit1","hurdle",1.12316976891923e-09,-1.933314,-1.096896,0.836418,0.582
"681","Pet100","hurdle",1.57133463161007e-07,-0.45013589,0.09772603,0.54786192,0.582
"555","Lrpap1","hurdle",1.05660706941996e-11,-1.2006692,-0.4324046,0.7682646,0.582
"547","Litaf","hurdle",3.72535296520144e-10,-0.8569444,-0.1602471,0.6966973,0.582
"263","Dapk3","hurdle",1.21375112526378e-06,-1.0913219,-0.5092982,0.5820237,0.582
"208","Chmp5","hurdle",2.28364082927831e-09,-0.3166424,0.2814129,0.5980553,0.582
"88","Arl8a","hurdle",5.63033311153409e-13,-2.360084,-1.325014,1.03507,0.582
"1027","Tsc22d4","hurdle",3.76477633045159e-07,-0.63239178,-0.07985331,0.55253847,0.581
"738","Prom1","hurdle",1.25938426931698e-06,-0.4619196,0.12625,0.5881696,0.581
"632","Nek8","hurdle",4.77314456337961e-23,-2.969724,-1.672657,1.297067,0.581
"458","Hopx","hurdle",4.99088379648623e-11,-2.015617,-1.083768,0.931849,0.581
"455","Hmx3","hurdle",1.2310332579999e-56,-3.307876,-1.732861,1.575015,0.581
"1046","Txndc16","hurdle",1.30550782125498e-15,-2.610846,-1.471194,1.139652,0.58
"1011","Tprgl","hurdle",3.56745790199941e-07,-0.8501402,-0.2749207,0.5752195,0.58
"882","Slc6a6","hurdle",2.11347605950205e-06,-0.8997741,-0.3281067,0.5716674,0.58
"481","Igsf5","hurdle",1.08115541818182e-07,-1.589087,-0.934905,0.654182,0.58
